Index	Region, subregion, country or area *	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
11	Low-income countries	641858.608	659972.55	678709.309	698023.409	717879.903	738254.694	759134.653	780517.412	802409.437	824823.382	847769.185	871245.261	895230.265	919679.716	944535.796	969755.958	995322.492	1021241.936	1047526.173	1074197.798	1101274.696	1128756.743	1156640.169	1184935.502	1213655.709	1242810.524	1272402.736	1302431.648	1332898.333	1363802.778	1395143.469	1426917.166	1459119.211	1491743.743	1524783.661	1558230.154	1592076.645	1626312.261	1660918.412	1695873.135	1731157.072	1766758.053	1802667.071	1838871.78	1875360.378	1912121.896	1949146.149	1986424.142	2023948.391	2061712.356	2099709.79	2137932.451	2176373.396	2215029.136	2253897.591	2292975.365	2332255.731	2371730.683	2411394.11	2451239.824	2491260.782	2531449.139	2571795.543	2612288.926	2652916.889	2693667.64	2734531.661	2775499.187	2816557.493	2857693.148	2898893.75	2940149.034	2981450.228	3022788.496	3064155.79	3105543.965	3146944.98	3188350.575	3229752.622	3271143.454	3312515.552	3353862.343	3395177.486	3436455.461	3477691.147	3518880.105
12	Sub-Saharan Africa	969234.251	996809.565	1025294.5	1054633.265	1084784.466	1115721.477	1147432.631	1179920.877	1213201.229	1247297.02	1282227.475	1317995.495	1354576.301	1391912.654	1429928.497	1468568.641	1507811.58	1547669.514	1588163.375	1629329.021	1671194.569	1713762.033	1757026.4	1801000.775	1845700.299	1891136.08	1937311.68	1984226.056	2031878.431	2080266.103	2129384.719	2179228.67	2229791.055	2281062.793	2333033.572	2385690.537	2439024.434	2493019.93	2547650.642	2602885.486	2658697.526	2715069.401	2771989.578	2829443.896	2887420.066	2945905.804	3004886.911	3064350.097	3124286.218	3184687.051	3245544.128	3306845.719	3368579.493	3430734.971	3493301.883	3556269.333	3619624.786	3683355.535	3747450.508	3811898.917	3876688.748	3941806.091	4007235.459	4072959.925	4138961.285	4205221.611	4271724.701	4338453.912	4405389.534	4472510.89	4539798.125	4607234.266	4674802.78	4742485.182	4810262.937	4878118.324	4946035.271	5013998.803	5081994.935	5150010.287	5218031.526	5286045.684	5354039.565	5422000.158	5489914.349	5557769.15
13	AFRICA	1194369.908	1226509.733	1259602.71	1293584.073	1328405.157	1364033.709	1400454.202	1437667.388	1475687.571	1514538.605	1554240.566	1594796.676	1636181.008	1678333.483	1721174.473	1764647.3	1808728.869	1853435.324	1898798.724	1944869.813	1991687.625	2039257.9	2087573.49	2136645.507	2186484.774	2237098.67	2288489.986	2340657.306	2393596.647	2447301.367	2501763.422	2556974.936	2612926.582	2669605.288	2726996.235	2785082.798	2843853.54	2903291.37	2963366.92	3024046.033	3085299.652	3147108.725	3209461.695	3272345.806	3335751.365	3399668.098	3464082.41	3528981.027	3594355.704	3660199.069	3726503.648	3793258.606	3860452.664	3928076.707	3996121.862	4064578.621	4133435.304	4202680.083	4272303.47	4342296.37	4412648.083	4483345.182	4554372.402	4625713.307	4697350.352	4769265.639	4841442.488	4913863.329	4986507.459	5059352.886	5132378.141	5205565.027	5278894.917	5352345.713	5425894.426	5499519.47	5573201.99	5646925.059	5720673.232	5794431.746	5868185.605	5941919.666	6015618.037	6089264.449	6162841.94	6236333.256
14	Eastern Africa	399458.026	411120.475	423169.413	435575.227	448315.487	461375.021	474745.962	488427.665	502425.482	516748.759	531404.917	546393.427	561700.058	577294.711	593138.165	609201.369	625472.849	641956.978	658660.418	675596.606	692776.44	710199.592	727864.472	745779.752	763956.303	782402.535	801120.724	820110.75	839374.976	858915.392	878732.386	898824.531	919188.455	939818.999	960709.505	981852.59	1003243.543	1024875.302	1046735.078	1068807.881	1091080.527	1113545.463	1136196.695	1159024.842	1182020.43	1205175.471	1228483.075	1251939.222	1275542.864	1299294.882	1323195.352	1347240.899	1371427.395	1395753.348	1420217.596	1444818.408	1469552.453	1494416.06	1519406.46	1544521.042	1569756.417	1595108.266	1620571.296	1646139.1	1671804.518	1697560.505	1723401.82	1749322.423	1775313.507	1801365.258	1827469.116	1853618.338	1879808.223	1906034.618	1932294.528	1958584.266	1984899.4	2011234.707	2037584.475	2063943.315	2090306.073	2116668.493	2143026.845	2169378.265	2195720.539	2222052.278
15	Burundi	10199.27	10546.742	10904.487	11271.87	11648.305	12033.345	12426.576	12827.702	13236.48	13652.815	14076.618	14507.938	14946.872	15393.611	15848.433	16311.692	16783.536	17264.448	17755.494	18258.03	18773.137	19301.238	19842.465	20397.201	20965.785	21548.388	22145.178	22756.036	23380.611	24018.348	24668.729	25331.549	26006.505	26692.89	27389.878	28096.738	28813.159	29538.931	30273.589	31016.681	31767.866	32526.953	33293.987	34069.214	34853.045	35645.837	36447.625	37258.515	38079.053	38909.95	39751.712	40604.464	41468.125	42342.671	43227.984	44123.903	45030.276	45946.858	46873.259	47808.977	48753.541	49706.657	50667.916	51636.412	52611.089	53591.082	54575.881	55565.304	56559.31	57558.014	58561.438	59569.428	60581.71	61598.014	62618.101	63641.763	64668.879	65699.426	66733.411	67770.897	68811.932	69856.559	70904.82	71956.735	73012.305	74071.534
16	Comoros	777.424	796.476	816.004	835.95	856.268	876.933	897.925	919.213	940.834	962.765	985.028	1007.61	1030.487	1053.628	1076.953	1100.458	1124.096	1147.883	1171.851	1196.015	1220.429	1245.07	1269.955	1295.082	1320.451	1346.085	1371.978	1398.128	1424.542	1451.216	1478.145	1505.322	1532.755	1560.427	1588.321	1616.429	1644.741	1673.238	1701.932	1730.768	1759.742	1788.848	1818.073	1847.408	1876.823	1906.319	1935.869	1965.49	1995.17	2024.938	2054.792	2084.736	2114.766	2144.861	2175.02	2205.24	2235.493	2265.794	2296.134	2326.51	2356.936	2387.392	2417.872	2448.376	2478.875	2509.392	2539.906	2570.411	2600.882	2631.297	2661.638	2691.9	2722.07	2752.151	2782.133	2812.028	2841.816	2871.492	2901.056	2930.507	2959.823	2989.013	3018.078	3047.011	3075.818	3104.511
17	Djibouti	927.414	943.148	959.278	975.699	992.334	1009.115	1026.01	1042.983	1060.022	1077.12	1094.273	1111.462	1128.632	1145.702	1162.571	1179.149	1195.418	1211.35	1226.961	1242.273	1257.292	1272.016	1286.438	1300.585	1314.449	1328.055	1341.42	1354.548	1367.45	1380.189	1392.767	1405.213	1417.509	1429.692	1441.768	1453.762	1465.668	1477.487	1489.208	1500.816	1512.304	1523.667	1534.906	1545.973	1556.853	1567.505	1577.931	1588.117	1598.068	1607.753	1617.2	1626.382	1635.317	1644.011	1652.472	1660.714	1668.744	1676.584	1684.272	1691.826	1699.304	1706.716	1714.07	1721.402	1728.745	1736.098	1743.5	1750.943	1758.45	1766.034	1773.704	1781.454	1789.293	1797.202	1805.156	1813.138	1821.125	1829.119	1837.11	1845.1	1853.072	1861.025	1868.943	1876.776	1884.511	1892.109
18	Eritrea	4846.976	4966.976	5090.418	5217.166	5347.119	5480.198	5616.341	5755.528	5897.734	6042.96	6191.203	6342.43	6496.555	6653.44	6812.913	6974.836	7139.126	7305.732	7474.687	7646.051	7819.846	7996.034	8174.507	8355.125	8537.742	8722.212	8908.457	9096.425	9286.003	9477.082	9669.563	9863.372	10058.464	10254.832	10452.48	10651.422	10851.602	11052.974	11255.484	11459.092	11663.742	11869.403	12076.006	12283.501	12491.83	12700.927	12910.731	13121.19	13332.248	13543.83	13755.879	13968.355	14181.198	14394.303	14607.564	14820.903	15034.252	15247.59	15460.91	15674.248	15887.607	16100.938	16314.227	16527.472	16740.699	16953.897	17167.044	17380.116	17593.056	17805.82	18018.335	18230.58	18442.519	18654.096	18865.273	19075.995	19286.226	19495.931	19705.074	19913.638	20121.584	20328.874	20535.5	20741.395	20946.541	21150.897
19	Ethiopia	99873.033	102502.807	105213.365	107994.509	110837.816	113736.616	116686.059	119683.063	122726.026	125814.419	128947.423	132122.58	135334.591	138574.685	141832.234	145099.034	148371.041	151647.875	154929.705	158218.372	161515.34	164819.482	168129.876	171448.77	174779.368	178123.996	181482.879	184855.338	188241.498	191641.312	195054.385	198480.11	201917.345	205364.315	208818.8	212278.55	215742.021	219207.357	222671.529	226131.104	229583.014	233025.224	236455.968	239872.744	243273.045	246654.667	250016.052	253355.999	256673.283	259966.862	263235.953	266479.647	269697.572	272890.238	276058.605	279203.406	282324.776	285422.492	288496.629	291547.247	294574.439	297578.192	300558.751	303516.885	306453.55	309369.421	312265.003	315140.074	317993.688	320824.448	323631.444	326414.492	329174.172	331911.274	334626.946	337322.104	339997.306	342652.758	345288.487	347904.555	350501.152	353078.728	355637.957	358179.802	360705.485	363216.455
20	Kenya	47236.259	48521.547	49841.67	51193.485	52574.657	53983.709	55420.022	56883.845	58376.089	59898.109	61450.945	63034.513	64646.928	66284.197	67941.05	69613.462	71299.735	73000.004	74714.332	76443.495	78188.019	79947.541	81721.446	83509.961	85313.452	87132.228	88966.084	90814.986	92679.647	94561.028	96459.696	98375.524	100307.88	102256.022	104218.937	106195.604	108185.422	110187.529	112200.432	114222.322	116251.633	118287.326	120328.615	122374.416	124423.687	126475.473	128528.896	130583.219	132637.872	134692.35	136746.212	138798.948	140850.002	142898.747	144944.548	146986.873	149025.293	151059.628	153089.995	155116.691	157139.906	159159.361	161174.754	163186.14	165193.666	167197.288	169196.893	171191.962	173181.529	175164.328	177139.36	179106.096	181064.371	183013.914	184954.593	186886.23	188808.597	190721.417	192624.388	194517.241	196399.792	198271.922	200133.606	201984.905	203826.01	205657.146
21	Madagascar	24234.088	24920.17	25636.673	26380.501	27149.138	27940.715	28753.944	29588.15	30443.21	31319.322	32216.644	33134.799	34072.441	35027.119	35995.759	36976.12	37967.282	38969.621	39983.891	41011.468	42053.509	43110.173	44181.524	45268.664	46372.925	47495.396	48636.483	49796.367	50975.576	52174.605	53393.752	54633.138	55892.557	57171.574	58469.514	59785.707	61119.864	62471.558	63839.703	65223.007	66620.395	68031.329	69455.49	70892.44	72341.781	73803.223	75276.371	76761.014	78257.253	79765.359	81285.484	82817.54	84361.328	85916.777	87483.846	89062.441	90652.331	92253.375	93865.588	95489.093	97123.812	98769.563	100425.868	102092.037	103767.185	105450.562	107141.739	108840.338	110545.657	112256.983	113973.687	115695.238	117421.333	119151.895	120887.01	122626.614	124370.476	126118.193	127869.246	129623.136	131379.391	133137.664	134897.686	136659.31	138422.484	140187.275
22	Malawi	17573.607	18113.147	18673.371	19252.471	19849.18	20462.783	21093.122	21740.576	22405.989	23090.493	23795.023	24519.832	25264.084	26025.583	26801.403	27589.377	28388.692	29199.783	30023.377	30860.733	31712.811	32579.624	33460.845	34356.752	35267.613	36193.615	37134.835	38091.164	39062.366	40048.073	41047.983	42061.864	43089.567	44130.937	45185.879	46254.188	47335.608	48429.714	49535.961	50653.696	51782.318	52921.395	54070.535	55229.28	56397.168	57573.73	58758.555	59951.202	61151.199	62358.056	63571.345	64790.657	66015.637	67245.916	68481.125	69720.923	70964.962	72212.948	73464.647	74719.909	75978.525	77240.186	78504.558	79771.415	81040.5	82311.542	83584.325	84858.479	86133.438	87408.56	88683.297	89957.265	91230.292	92502.29	93773.29	95043.241	96311.979	97579.211	98844.584	100107.763	101368.441	102626.381	103881.417	105133.475	106382.533	107628.672
23	Mauritius	1259.456	1264.279	1269.401	1274.71	1280.156	1285.657	1291.181	1296.703	1302.241	1307.781	1313.349	1318.925	1324.439	1329.803	1334.901	1339.617	1343.921	1347.822	1351.297	1354.365	1357.035	1359.306	1361.173	1362.687	1363.847	1364.713	1365.291	1365.629	1365.768	1365.802	1365.787	1365.758	1365.737	1365.785	1365.966	1366.312	1366.868	1367.637	1368.611	1369.779	1371.115	1372.64	1374.331	1376.153	1378.077	1380.054	1382.061	1384.109	1386.165	1388.206	1390.212	1392.178	1394.093	1395.961	1397.795	1399.591	1401.355	1403.091	1404.83	1406.593	1408.412	1410.27	1412.227	1414.265	1416.437	1418.758	1421.25	1423.903	1426.73	1429.733	1432.911	1436.278	1439.819	1443.524	1447.402	1451.414	1455.582	1459.881	1464.321	1468.899	1473.619	1478.475	1483.447	1488.547	1493.741	1499.021
24	Mayotte	240.02	246.868	253.85	260.954	268.182	275.53	283.002	290.617	298.366	306.282	314.362	322.604	331.003	339.547	348.213	356.992	365.853	374.815	383.869	393.011	402.246	411.558	420.949	430.422	439.961	449.564	459.224	468.946	478.723	488.548	498.402	508.305	518.241	528.21	538.224	548.257	558.34	568.45	578.585	588.76	598.964	609.197	619.45	629.738	640.039	650.355	660.67	670.996	681.335	691.665	701.995	712.332	722.656	732.975	743.275	753.575	763.854	774.119	784.368	794.593	804.802	814.994	825.163	835.309	845.441	855.536	865.615	875.66	885.673	895.651	905.59	915.486	925.329	935.136	944.887	954.598	964.258	973.866	983.426	992.924	1002.358	1011.743	1021.05	1030.299	1039.472	1048.58
25	Mozambique	28010.691	28861.448	29743.786	30656.342	31598.164	32568.713	33567.825	34595.778	35653.151	36740.741	37859.188	39008.613	40188.242	41396.328	42630.506	43888.996	45171.103	46477.045	47807.007	49161.539	50541.05	51945.429	53374.473	54828.439	56307.695	57812.489	59342.96	60899.098	62480.83	64088.007	65720.577	67378.355	69061.432	70770.226	72505.302	74266.988	76055.195	77869.48	79709.294	81573.954	83462.755	85375.299	87311.07	89269.108	91248.251	93247.521	95266.234	97303.922	99360.104	101434.41	103526.418	105635.647	107761.54	109903.527	112061.014	114233.476	116420.338	118621.245	120836.108	123065.002	125307.802	127564.091	129833.23	132114.598	134407.524	136711.308	139025.45	141349.289	143681.764	146021.612	148367.786	150719.334	153075.774	155437.147	157803.767	160175.591	162552.047	164932.092	167314.362	169697.409	172079.851	174460.482	176838.272	179212.382	181582.179	183947.197
26	R?union	863.363	870.931	878.793	886.916	895.239	903.716	912.307	920.991	929.747	938.568	947.424	956.308	965.179	973.992	982.696	991.249	999.635	1007.834	1015.849	1023.695	1031.354	1038.832	1046.141	1053.243	1060.174	1066.92	1073.483	1079.881	1086.116	1092.209	1098.19	1104.03	1109.772	1115.418	1121.006	1126.536	1132.027	1137.486	1142.923	1148.354	1153.775	1159.209	1164.655	1170.121	1175.611	1181.124	1186.671	1192.252	1197.884	1203.587	1209.348	1215.196	1221.116	1227.129	1233.22	1239.416	1245.701	1252.083	1258.555	1265.111	1271.756	1278.478	1285.269	1292.14	1299.073	1306.071	1313.118	1320.214	1327.35	1334.508	1341.683	1348.854	1356.037	1363.214	1370.377	1377.529	1384.653	1391.759	1398.851	1405.93	1412.998	1420.064	1427.126	1434.196	1441.268	1448.354
27	Rwanda	11629.553	11938.111	12249.975	12565.051	12883.351	13204.972	13530.089	13858.923	14191.813	14529.061	14870.95	15217.584	15568.806	15924.199	16283.133	16645.145	17009.975	17377.591	17747.97	18121.137	18497.053	18875.581	19256.449	19639.307	20023.753	20409.445	20796.161	21183.753	21571.983	21960.605	22349.429	22738.25	23126.933	23515.442	23903.797	24291.967	24679.821	25067.202	25454.025	25840.216	26225.691	26610.343	26993.996	27376.328	27756.972	28135.607	28512.049	28886.224	29258.073	29627.589	29994.761	30359.506	30721.706	31081.205	31437.815	31791.39	32141.852	32489.211	32833.539	33174.982	33513.651	33849.527	34182.596	34512.849	34840.291	35164.933	35486.755	35805.729	36121.819	36434.928	36745.026	37052.068	37356.045	37656.825	37954.309	38248.382	38539.027	38826.254	39110.11	39390.667	39667.983	39942.11	40213.08	40480.943	40745.689	41007.307
28	Seychelles	93.742	94.442	95.105	95.737	96.342	96.914	97.462	97.983	98.478	98.951	99.408	99.844	100.275	100.681	101.071	101.451	101.824	102.181	102.524	102.874	103.22	103.558	103.907	104.253	104.586	104.926	105.26	105.591	105.919	106.232	106.544	106.834	107.113	107.378	107.648	107.887	108.121	108.345	108.56	108.769	108.969	109.162	109.36	109.551	109.741	109.951	110.154	110.378	110.61	110.849	111.105	111.385	111.677	111.978	112.307	112.651	113.019	113.4	113.798	114.214	114.644	115.094	115.557	116.042	116.527	117.034	117.547	118.067	118.603	119.146	119.695	120.251	120.819	121.389	121.962	122.545	123.117	123.697	124.278	124.861	125.444	126.03	126.616	127.194	127.772	128.345
