,1000 bbl/d,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Qatar,MEA,472.000,405.000,330.000,295.000,394.000,301.000,308.000,293.000,346.000,380.000,406.000,395.000,423.000,413.000,415.000,442.000,510.000,550.000,696.000,665.000,741.724,729.589,709.110,806.603,901.393,977.562,995.644,1082.945,1197.662,1279.078,1458.781,1571.096,1551.404,1553.000,1540.425,1531.805,1522.902,1519.425
Reunion,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Romania,EUR,238.000,241.000,242.000,240.000,237.000,220.000,221.000,215.000,193.000,180.000,163.000,140.000,136.000,133.000,138.000,135.000,135.000,134.000,132.000,125.000,120.418,124.000,122.379,116.365,114.249,105.307,96.460,94.419,95.397,91.660,88.139,86.864,84.350,84.992,83.347,82.655,77.910,73.740
Russia,FSU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7632.000,6730.000,6135.000,5995.000,5850.000,5920.000,5854.000,6079.000,6479.202,6917.000,7408.173,8132.199,8804.708,9043.082,9247.205,9437.063,9356.784,9495.365,9694.114,9773.518,9921.609,10053.844,10107.088,10252.855,10551.497,10580.192
Rwanda,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Saint Helena,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Saint Kitts and Nevis,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Saint Lucia,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Saint Pierre and Miquelon,NAM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Saint Vincent and Grenadines,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Samoa,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sao Tome and Principe,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Saudi Arabia,MEA,9900.000,9815.000,6483.000,5086.000,4663.000,3388.000,4870.000,4265.000,5086.000,5064.000,6410.000,8115.000,8332.000,8198.000,8120.000,8231.000,8218.000,8362.000,8389.000,7833.000,8403.799,8031.096,7634.396,8775.000,9100.820,9550.137,9152.329,8721.507,9261.251,8250.112,8900.000,9458.356,9832.322,9693.151,9735.342,10168.247,10460.710,10133.753
Senegal,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Serbia,EUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.000,13.000,13.000,14.000,18.000,16.581,14.997,16.496,16.838,20.329,20.000,19.162
Seychelles,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sierra Leone,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Singapore,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Slovakia,EUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.300,1.300,1.400,1.600,1.500,1.200,0.900,1.000,1.000,1.000,1.255,0.858,0.700,0.620,0.480,0.420,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200
Slovenia,EUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,0.050,0.040,0.040,0.020,0.026,0.020,0.020,0.020,0.014,0.014,0.010,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
Solomon Islands,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Somalia,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
South Africa,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000,25.000,26.000,26.205,19.496,29.641,55.828,34.403,20.156,16.058,14.582,4.000,3.493,4.000,3.913,3.581,3.000,3.000,2.000,2.000
Spain,EUR,33.000,25.000,30.000,58.000,46.000,44.000,38.000,34.000,30.000,21.000,16.000,22.000,22.000,18.000,17.000,13.000,10.000,7.600,11.000,6.100,4.751,7.099,6.410,6.597,5.997,3.093,2.995,2.748,2.667,2.337,2.573,2.167,3.003,7.337,6.249,4.652,2.667,2.252
Sri Lanka,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sudan and South Sudan,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.300,0.300,0.100,0.200,2.000,5.000,10.000,69.000,186.000,209.132,238.767,269.740,342.514,350.000,378.110,463.773,477.801,483.452,486.203,453.260,92.036,133.805,113.703,108.369,104.872,102.345
Suriname,SLM,0.000,0.000,0.000,0.000,0.000,1.000,2.000,2.000,3.000,4.000,3.900,3.500,5.000,5.000,6.000,7.000,7.500,5.000,7.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,11.599,13.536,15.842,16.000,16.000,16.000,15.833,15.000,15.000,17.000,17.000,17.000
Swaziland,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sweden,EUR,0.500,0.100,0.300,0.400,0.200,0.100,0.073,0.073,0.054,0.054,0.054,0.036,0.018,0.010,0.081,0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Switzerland,EUR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Syria,MEA,164.000,166.000,160.000,167.000,170.000,178.000,194.000,230.000,265.000,340.000,388.000,492.000,481.000,554.000,560.000,575.000,582.000,561.000,553.000,538.000,522.825,483.940,472.227,463.981,446.056,432.038,406.377,380.000,369.299,368.004,383.274,339.636,145.230,58.044,22.660,30.000,28.667,14.000
Taiwan,APAC,5.000,3.000,3.000,3.000,3.000,2.000,2.000,3.000,2.000,2.000,3.000,2.200,2.000,1.100,1.300,1.200,1.200,1.000,0.900,0.800,0.738,0.800,0.880,0.920,0.800,0.558,0.406,0.306,0.277,0.276,0.245,0.195,0.196,0.196,0.196,0.196,0.196,0.196
Tajikistan,FSU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.100,0.600,0.400,0.500,0.400,0.500,0.400,0.400,0.359,0.326,0.309,0.352,0.250,0.279,0.300,0.278,0.235,0.218,0.215,0.215,0.214,0.206,0.206,0.182,0.180,0.180
Tanzania,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Thailand,APAC,0.300,0.300,6.000,11.000,18.000,34.000,35.000,33.000,36.000,40.000,44.000,46.000,51.000,52.000,56.000,51.000,61.000,72.000,75.000,84.000,109.656,113.761,127.162,158.985,154.980,183.377,204.363,213.408,228.828,237.941,241.801,224.128,238.579,240.764,232.975,248.170,257.525,239.668
Timor-Leste (East Timor),APAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,51.910,94.425,100.986,100.000,100.000,94.792,87.989,83.742,79.495,79.258,74.233,62.060,49.238,40.318
Togo,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tonga,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Trinidad and Tobago,SLM,211.000,240.000,180.000,160.000,170.000,175.000,168.000,157.000,157.000,154.000,150.000,151.000,137.000,135.000,132.000,131.000,130.000,124.000,123.000,125.000,122.164,113.353,121.838,134.089,122.902,144.674,142.721,121.154,114.279,106.756,98.182,91.919,81.735,81.157,81.262,78.656,71.568,71.803
Tunisia,AFR,110.000,118.000,120.000,120.000,120.000,114.000,111.000,106.000,103.000,105.000,93.000,104.000,109.000,98.000,92.000,89.000,87.000,84.000,80.000,83.000,78.672,69.577,75.808,75.000,79.762,75.000,76.438,83.303,82.939,78.371,74.931,64.329,63.294,60.148,49.597,36.000,38.000,32.992
Turkey,EUR,46.000,46.000,50.000,44.000,41.000,41.000,46.000,51.000,50.000,56.000,73.000,88.000,84.000,76.000,72.000,67.000,67.000,68.000,65.000,59.000,52.676,48.000,46.674,45.170,42.421,43.671,42.159,41.003,41.585,46.205,48.337,45.737,44.757,46.244,47.671,48.510,49.497,49.173
Turkmenistan,FSU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.000,79.000,77.000,70.000,76.000,89.000,110.000,139.000,141.600,155.000,179.569,187.364,201.079,183.260,161.455,163.590,170.257,176.263,178.188,196.737,215.470,228.479,239.211,243.068,230.779,245.000
Turks and Caicos Islands,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tuvalu,APAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U.S. Pacific Islands,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Uganda,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ukraine,FSU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.000,66.000,63.000,60.000,59.000,57.000,54.000,53.000,52.000,52.000,52.000,56.000,60.000,63.000,67.000,66.000,61.461,57.738,51.101,48.287,45.629,43.212,40.493,35.912,32.071,29.655
United Arab Emirates,MEA,1709.000,1474.000,1250.000,1149.000,1146.000,1193.000,1330.000,1541.000,1565.000,1860.000,2117.000,2386.000,2266.000,2159.000,2193.000,2233.000,2278.000,2316.000,2345.000,2169.000,2367.828,2205.000,2081.995,2348.137,2478.262,2535.425,2635.699,2602.589,2681.023,2412.552,2414.656,2679.178,2803.607,2820.000,2894.192,3019.452,3106.077,3037.436
United Kingdom,EUR,1622.000,1811.000,2065.000,2291.000,2480.000,2530.000,2539.000,2406.000,2232.000,1802.000,1820.000,1797.000,1825.000,1915.000,2375.000,2489.000,2568.000,2518.000,2616.000,2684.000,2275.050,2282.326,2291.726,2093.176,1845.334,1648.543,1490.196,1497.971,1391.371,1327.787,1233.187,1026.430,888.092,801.291,787.219,893.260,933.023,910.523
United Kingdom (Offshore),NAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States,NAM,8597.000,8572.000,8649.000,8688.000,8879.000,8971.000,8680.000,8349.000,8140.000,7613.000,7355.000,7417.000,7171.000,6847.000,6662.000,6560.000,6465.000,6452.000,6252.000,5881.000,5821.601,5801.403,5744.077,5649.238,5440.915,5183.712,5085.866,5073.899,4997.634,5348.592,5475.186,5642.844,6496.617,7466.219,8753.197,9408.271,8856.809,9320.994
Uruguay,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Uzbekistan,FSU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.000,47.000,75.000,115.000,115.000,112.000,116.000,102.000,91.339,85.000,79.433,90.041,81.000,67.529,58.838,65.000,62.077,43.453,52.871,58.581,66.262,70.000,64.381,60.132,52.913,46.068
Vanuatu,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Venezuela,SLM,2168.000,2102.000,1895.000,1801.000,1798.000,1677.000,1787.000,1752.000,1903.000,1907.000,2137.000,2375.000,2371.000,2450.000,2588.000,2750.000,2938.000,3280.000,3167.000,2826.000,3155.000,3010.000,2603.945,2335.192,2556.940,2564.658,2510.548,2490.301,2510.000,2520.000,2410.000,2500.000,2500.000,2500.000,2500.000,2500.000,2276.967,2007.301
Vietnam,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.800,5.000,15.000,32.000,50.000,80.000,106.000,120.000,141.000,173.000,175.000,191.000,246.000,290.000,316.000,356.745,339.595,352.507,403.287,358.000,352.995,313.121,301.746,331.082,299.093,302.129,331.046,332.077,306.827,333.441,301.850,271.353
Virgin Islands_  U.S.,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Virgin Islands_ British,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Wake Island,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Western Sahara,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Yemen,MEA,0.000,0.000,0.000,0.000,0.000,0.000,10.000,20.000,173.000,194.000,193.000,197.000,182.000,220.000,335.000,345.000,340.000,362.000,388.000,409.000,437.756,440.872,439.354,429.395,404.381,400.146,374.907,318.692,298.329,285.157,279.997,216.389,168.727,130.699,125.008,47.600,21.667,12.260
Zambia,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Zimbabwe,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
