,1000 bbl/d,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Burma (Myanmar),APAC,30.000,27.000,30.000,30.000,32.000,30.000,24.000,17.000,13.000,15.000,13.000,15.000,14.000,14.000,14.000,9.600,8.000,9.000,11.000,9.500,12.000,10.000,15.000,15.000,20.000,20.000,23.000,21.162,21.353,18.085,20.329,20.000,20.000,20.000,19.575,15.000,15.000,12.000
Burundi,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Cambodia,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Cameroon,AFR,58.000,87.000,109.000,114.000,135.000,185.000,177.000,174.000,163.000,170.000,161.000,153.000,140.000,127.000,108.000,111.000,108.000,124.000,121.000,100.000,84.822,76.647,69.819,67.000,65.989,82.315,86.403,82.827,81.325,76.904,65.000,61.660,63.000,62.756,75.000,98.000,92.000,80.000
Canada,NAM,1435.000,1285.000,1271.000,1356.000,1438.000,1471.000,1474.000,1535.000,1616.000,1560.000,1553.000,1548.000,1605.000,1679.000,1746.000,1805.000,1837.000,1922.000,1981.000,1907.000,1976.893,2029.173,2170.600,2305.726,2398.421,2368.878,2525.397,2628.125,2579.309,2579.480,2740.756,2900.647,3137.839,3325.129,3613.225,3677.126,3679.046,3999.071
Cape Verde,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Cayman Islands,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Central African Republic,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Chad,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,36.068,170.587,176.658,157.918,144.203,127.164,119.471,122.521,114.964,104.484,100.000,121.000,123.000,114.000,130.000
Chile,SLM,33.000,41.000,43.000,39.000,38.000,36.000,31.000,30.000,24.000,22.000,20.000,17.000,15.000,14.000,12.000,11.000,9.200,7.400,8.100,7.700,6.762,6.642,6.000,6.000,5.590,4.419,2.992,2.550,3.092,3.684,4.164,4.586,6.082,6.666,6.581,6.260,4.423,3.244
China,APAC,2114.000,2012.000,2045.000,2120.000,2296.000,2505.000,2620.000,2690.000,2730.000,2757.000,2774.000,2835.000,2845.000,2890.000,2939.000,2990.000,3131.000,3200.000,3198.000,3195.000,3248.762,3300.004,3389.652,3408.871,3485.314,3608.622,3672.735,3735.971,3790.182,3795.959,4078.360,4052.056,4074.074,4163.817,4208.255,4277.693,3980.650,3838.047
Colombia,SLM,126.000,125.000,141.000,152.000,168.000,176.000,305.000,385.000,378.000,403.000,440.000,419.000,433.000,456.000,450.000,585.000,623.000,652.000,733.000,816.000,690.577,625.000,576.940,540.733,528.761,525.793,531.038,531.135,588.357,670.646,785.526,914.254,944.219,1003.246,988.008,1003.016,885.951,849.764
Comoros,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Congo (Brazzaville),AFR,65.000,83.000,89.000,87.000,121.000,120.000,119.000,123.000,144.000,164.000,165.000,156.000,174.000,181.000,180.000,188.000,201.000,253.000,265.000,270.000,280.000,255.000,249.203,246.849,235.478,228.625,241.644,207.171,233.270,267.860,305.000,290.000,280.000,261.000,262.000,256.000,296.000,345.000
Congo (Kinshasa),AFR,20.000,20.000,23.000,25.000,32.000,33.000,32.000,32.000,30.000,28.000,29.000,28.000,26.000,25.000,26.000,30.000,30.000,28.000,26.000,22.000,26.000,24.000,22.666,22.000,21.085,19.748,20.000,22.156,19.958,22.000,21.000,20.162,20.000,20.000,20.000,20.000,20.000,19.162
Cook Islands,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Costa Rica,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Cote dIvoire (IvoryCoast),AFR,1.000,7.000,9.000,23.000,27.000,28.000,20.000,18.000,12.000,2.000,2.000,2.000,1.500,0.500,6.800,8.000,16.000,19.000,20.000,15.000,11.497,11.000,12.000,19.000,26.000,39.000,62.000,52.000,59.165,57.817,43.833,39.589,37.915,37.000,36.000,29.000,49.000,54.000
Croatia,EUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.000,36.000,39.000,32.000,30.000,29.000,31.000,25.000,24.000,23.000,22.000,22.000,20.249,18.658,16.751,15.094,13.667,15.581,14.584,13.490,11.833,11.997,11.499,12.419,13.582,14.000
Cuba,SLM,5.000,8.000,10.000,12.000,15.000,17.000,18.000,18.000,15.000,15.000,14.000,14.000,16.000,20.000,24.000,26.000,30.000,30.000,31.000,38.000,41.000,50.000,47.296,55.167,57.930,52.269,51.644,50.539,52.246,48.235,53.000,55.000,52.077,50.000,50.000,50.000,49.833,50.000
Cyprus,EUR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Czech Republic,EUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.100,2.400,3.000,4.200,3.300,3.600,3.900,3.590,3.671,5.345,6.501,6.079,6.167,5.329,5.000,4.915,4.252,3.592,3.085,3.000,3.000,3.000,2.836,2.333,2.000
Denmark,EUR,6.000,15.000,35.000,45.000,46.000,58.000,76.000,97.000,99.000,117.000,121.000,143.000,163.000,174.000,185.000,186.000,208.000,230.000,238.000,300.000,362.934,346.203,370.762,375.047,389.147,377.146,342.005,311.556,286.513,259.981,245.359,221.146,202.246,175.401,165.250,156.317,140.637,137.093
Djibouti,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Dominica,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Dominican Republic,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ecuador,SLM,204.000,211.000,211.000,237.000,258.000,281.000,293.000,174.000,302.000,279.000,285.000,299.000,321.000,344.000,365.000,392.000,396.000,388.000,375.000,373.000,394.921,412.184,392.529,411.014,528.245,531.976,535.680,511.088,504.728,485.620,486.087,499.513,503.592,526.112,556.358,543.094,548.421,531.323
Egypt,AFR,595.000,598.000,670.000,727.000,822.000,887.000,813.000,896.000,848.000,865.000,873.000,874.000,881.000,890.000,896.000,920.000,922.000,856.000,834.000,852.000,768.330,719.663,715.417,712.673,673.381,623.321,615.970,608.356,633.399,648.712,636.332,637.444,641.623,644.921,645.112,652.014,615.735,588.438
El Salvador,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Equatorial Guinea,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,1.600,4.500,5.000,5.000,17.000,52.000,83.000,102.000,167.500,181.438,212.562,206.466,365.459,362.534,342.866,345.370,336.834,321.979,297.781,278.388,289.400,269.797,260.000,250.000,227.000,188.274
Eritrea,AFR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
