#
# This file contains data, downloaded from EIA in 2015
# Used for comparison with the latest inputs
#
Code	Region	Country	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
ERI	AFR	Eritrea	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EST	CIS	Estonia	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ETH	AFR	Ethiopia	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FLK	SAM	Falkland Islands (Malvinas)	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FRO	SMALL	Faroe Islands	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FJI	OAN	Fiji	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FIN	EUR	Finland	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CSK	DEPR	Former Czechoslovakia	2.000	2.000	2.000	2.000	2.000	2.000	3.000	3.000	3.000	3.000	2.300	2.671	2.223	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SCG	DEPR	Former Serbia and Montenegro	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.074	22.829	23.680	22.000	22.000	19.722	18.000	18.000	16.000	15.000	14.000	13.500	13.000	12.162	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SUN	DEPR	Former U.S.S.R.	11706.000	11850.000	11912.000	11972.000	11861.000	11585.000	11895.000	12050.000	12053.000	11715.000	10975.000	9992.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YUG	DEPR	Former Yugoslavia	86.000	86.000	87.000	83.000	80.000	86.000	84.000	79.000	75.000	70.000	63.900	60.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FRA	EUR	France	26.000	34.000	34.000	35.000	35.000	50.000	60.000	65.000	67.000	65.000	61.000	58.666	57.678	55.322	56.153	50.000	43.164	35.666	34.493	30.488	29.000	27.915	26.918	24.077	23.331	21.337	21.499	19.836	19.500	18.151	18.085	17.830	16.251	16.003	15.337
GUF	SAM	French Guiana	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PYF	SMALL	French Polynesia	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GAB	AFR	Gabon	175.000	151.000	156.000	157.000	157.000	172.000	166.000	155.000	159.000	208.000	270.000	294.000	297.650	312.500	328.548	365.000	368.361	370.411	352.000	331.000	315.000	270.000	251.200	241.416	239.052	266.317	237.220	244.221	248.137	242.129	245.877	244.723	242.328	239.258	240.000
GMB	AFR	Gambia	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GEO	CIS	Georgia	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.920	2.000	1.800	1.000	1.200	2.680	2.190	2.180	2.000	2.000	1.480	2.800	2.000	2.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
DEU	EUR	Germany	93.000	90.000	85.000	82.000	80.000	82.000	81.000	75.000	78.800	75.900	71.800	71.288	63.144	60.855	58.354	58.500	59.616	56.296	58.638	55.296	63.818	64.863	68.863	72.299	67.901	66.926	67.553	66.318	60.000	55.000	49.000	51.000	51.000	51.564	47.833
DDR	DEPR	Germany, East	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	0.900	0.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DEUW	DEPR	Germany, West	92.000	89.000	84.000	81.000	79.000	81.000	80.000	74.000	78.000	75.000	71.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GHA	AFR	Ghana	2.000	2.000	2.000	2.000	2.000	1.000	0.300	0.000	0.000	0.000	0.000	0.000	1.087	1.600	1.400	4.000	6.000	5.000	5.000	6.000	7.000	7.000	7.000	7.000	7.000	6.000	6.000	6.000	6.000	6.000	7.189	76.512	78.355	97.912	105.019
GIB	SMALL	Gibraltar	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GRC	EUR	Greece	0.000	8.000	21.000	24.000	26.000	25.000	25.000	24.000	21.000	17.000	15.000	16.000	13.270	10.843	10.247	9.000	8.000	9.079	6.493	0.340	4.749	4.992	3.162	2.830	2.836	2.668	1.838	1.247	1.000	1.168	2.334	1.751	1.669	1.247	1.162
GRL	NAM	Greenland	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GRD	SMALL	Grenada	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GLP	SMALL	Guadeloupe	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
