Report generated on: 07-09-2021 13:01:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
INTL.56-1-ATG-TBPD.A,            Refinery processing gain (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.53-1-ARG-TBPD.A,        Total petroleum and other liquids (Mb/d),,,,,,,,508,513,507,504,498,485,471,472,492,496,521,529,597,647.000460274,713.1095890411,773.5753424658,820.9836065574,904.6712328767,916.6849315069,870.2328767123,831.7453620054,876.0728794418,865.5893954249,865.7590334744,892.8108005464,857.9434465753,849.682060274,822.1879369863,805.042226776,788.2815890411,789.1595643836,745.2605945205,723.8369180328,708.3555287671,716.3514054795,708.5509424658,708.667363388,676.0038926265,678.6559819418,690.4130072861,635.050342237,
INTL.55-1-ARG-TBPD.A,"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,504,508,503,499,493,480,465,464,484,487,510,515,583,629.000460274,694.1095890411,756.5753424658,799.9836065574,881.6712328767,896.6849315069,850.2328767123,809.1420765027,850.4,840.147,840.107,864.8038005464,834.5074465753,824.999060274,807.6439369863,793.106226776,772.2725890411,773.9335643836,728.9765945205,707.4819180328,693.2825287671,701.3434054795,693.9119424658,694.028363388,661.3648926265,664.0169819418,675.7740072861,620.411342237,
INTL.57-1-ARG-TBPD.A,                Crude oil including lease condensate (Mb/d),,,,,,,,491,496,491,491,478,460,434,428,449,460,483,485,553,594.000460274,650.1095890411,714.5753424658,755.9836065574,833.6712328767,846.6849315069,802.2328767123,761.1420765027,802.4,799.147,783.107,734.6038005464,705.3074465753,696.299060274,678.7439369863,661.2152377049,628.8054739726,613.3419616438,576.0272712329,551.1197896175,539.940509589,532.1596794521,532.2395178082,510.5054398907,479.3133141217,489.2732630119,507.531793445,480.0210348228,
INTL.58-1-ARG-TBPD.A,                NGPL (Mb/d),,,,,,,,13,12,12,8,15,20,31,36,35,27,27,30,30,35,44,42,44,48,50,48,48,48,41,57,130,129,128,125,118,120,123,102,103,104,104,108.5150684932,112.3387978142,101.8383561644,103,103,103.4180327869,
INTL.59-1-ARG-TBPD.A,                Other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.7,3.9,13.890989071,23.4671150685,37.5916027397,50.9493232877,53.3621284153,49.3420191781,65.1837260274,53.1573561644,71.1841256831,80.2132223404,71.7437189299,65.2422138411,36.9722746273,
INTL.56-1-ARG-TBPD.A,            Refinery processing gain (Mb/d),,,,,,,,4,5,4,5,5,5,6.1,7.5,8.1,9.4,11,14,14,18,19,17,21,23,20,20,22.6032855026,25.6728794418,25.4423954249,25.6520334744,28.007,23.436,24.683,14.544,11.936,16.009,15.226,16.284,16.355,15.073,15.008,14.639,14.639,14.639,14.639,14.639,14.639,
,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.53-1-ARM-TBPD.A,        Total petroleum and other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.55-1-ARM-TBPD.A,"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.57-1-ARM-TBPD.A,                Crude oil including lease condensate (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.58-1-ARM-TBPD.A,                NGPL (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.59-1-ARM-TBPD.A,                Other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.56-1-ARM-TBPD.A,            Refinery processing gain (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.53-1-ABW-TBPD.A,        Total petroleum and other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,0,0,0,0,-0.0682256,0.0385766698,-0.02753029,-0.028,0,0,0,0,0,0,2.3560557268,2.362510674,2.362510674,2.362510674,2.356,2.351,2.235,2.477,2.465,2.811,2.813,2.822,0.68,0,0,0,0,0,0,0,0,
INTL.55-1-ABW-TBPD.A,"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.57-1-ABW-TBPD.A,                Crude oil including lease condensate (Mb/d),,,,,,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.58-1-ABW-TBPD.A,                NGPL (Mb/d),,,,,,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.59-1-ABW-TBPD.A,                Other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
