#
# REACTORS SHUTDOWN:
#
Year_Connected	Year_Shutdown	Years_Operating	Installed_Power	Name
1980	2008	28	408	BOHUNICE-2
1972	2008	36	515	PICKERING-3
1974	2009	35	515	HAMAOKA-1
1978	2009	31	806	HAMAOKA-2
1987	2009	22	1185	IGNALINA-2
1973	2010	37	130	PHENIX
1974	2011	37	1167	BIBLIS-A
1976	2011	35	1240	BIBLIS-B
1976	2011	35	771	BRUNSBUETTEL
1970	2011	41	439	FUKUSHIMA-DAIICHI-1
1973	2011	38	760	FUKUSHIMA-DAIICHI-2
1974	2011	37	760	FUKUSHIMA-DAIICHI-3
1978	2011	33	760	FUKUSHIMA-DAIICHI-4
1977	2011	34	878	ISAR-1
1983	2011	28	1346	KRUEMMEL
1976	2011	35	785	NECKARWESTHEIM-1
1968	2011	43	217	OLDBURY A-2
1979	2011	32	890	PHILIPPSBURG-1
1978	2011	33	1345	UNTERWESER
1982	2012	30	635	GENTILLY-2
1966	2012	46	217	OLDBURY A-1
1971	2012	41	490	WYLFA-2
1977	2013	36	860	CRYSTAL RIVER-3
1977	2013	36	760	FUKUSHIMA-DAIICHI-5
1979	2013	34	1067	FUKUSHIMA-DAIICHI-6
1974	2013	39	566	KEWAUNEE
1982	2013	31	1070	SAN ONOFRE-2
1983	2013	30	1080	SAN ONOFRE-3
1972	2014	42	605	VERMONT YANKEE
1975	2015	40	529	GENKAI-1
1981	2015	34	1275	GRAFENRHEINFELD
1970	2015	45	320	MIHAMA-1
1972	2015	43	470	MIHAMA-2
1973	2015	42	439	SHIMANE-1
1969	2015	46	340	TSURUGA-1
1971	2015	44	490	WYLFA-1
1973	2016	43	482	FORT CALHOUN-1
1977	2016	39	538	IKATA-1
1971	2016	45	385	NOVOVORONEZH-3
1974	2016	42	638	OSKARSHAMN-2
1984	2017	33	1284	GUNDREMMINGEN-B
1977	2017	40	576	KORI-1
1995	2017	22	246	MONJU
1971	2017	46	473	OSKARSHAMN-1
1971	2017	46	446	SANTA MARIA DE GARONA
1977	2018	41	604	CHINSHAN-1
1978	2018	40	604	CHINSHAN-2
1969	2018	49	619	OYSTER CREEK
