#
# The copyright to the intellectual property of this file is held by www.climatedata.info
# Title,"Temperature, CO2 and Milankovitch cycles - Vostok"
# Source: http://www.ncdc.noaa.gov/paleo/indexice.html
# Source: http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/orbital_variations/berger_insolation/
#
BP,Temp
-375300,-5.177
-375200,-5.209
-375100,-5.241
-375000,-5.265
-374900,-5.278
-374800,-5.29
-374700,-5.302
-374600,-5.315
-374500,-5.327
-374400,-5.375
-374300,-5.433
-374200,-5.491
-374100,-5.549
-374000,-5.607
-373900,-5.664
-373800,-5.705
-373700,-5.747
-373600,-5.788
-373500,-5.83
-373400,-5.871
-373300,-5.913
-373200,-5.956
-373100,-5.999
-373000,-6.041
-372900,-6.084
-372800,-6.127
-372700,-6.183
-372600,-6.255
-372500,-6.327
-372400,-6.399
-372300,-6.471
-372200,-6.543
-372100,-6.587
-372000,-6.602
-371900,-6.617
-371800,-6.632
-371700,-6.647
-371600,-6.662
-371500,-6.598
-371400,-6.439
-371300,-6.281
-371200,-6.122
-371100,-5.963
-371000,-5.804
-370900,-5.706
-370800,-5.648
-370700,-5.591
-370600,-5.533
-370500,-5.476
-370400,-5.419
-370300,-5.384
-370200,-5.349
-370100,-5.314
-370000,-5.28
-369900,-5.245
-369800,-5.154
-369700,-5.023
-369600,-4.892
-369500,-4.761
-369400,-4.63
-369300,-4.509
-369200,-4.407
-369100,-4.305
-369000,-4.204
-368900,-4.102
-368800,-4.055
-368700,-4.141
-368600,-4.227
-368500,-4.313
-368400,-4.399
-368300,-4.489
-368200,-4.588
-368100,-4.688
-368000,-4.787
-367900,-4.886
-367800,-4.967
-367700,-4.945
-367600,-4.924
-367500,-4.903
-367400,-4.882
-367300,-4.861
-367200,-4.856
-367100,-4.852
-367000,-4.848
-366900,-4.845
-366800,-4.841
-366700,-4.887
-366600,-4.943
-366500,-4.999
-366400,-5.055
-366300,-5.111
-366200,-5.165
-366100,-5.216
-366000,-5.268
-365900,-5.319
-365800,-5.371
-365700,-5.439
-365600,-5.528
-365500,-5.618
-365400,-5.708
-365300,-5.797
-365200,-5.885
-365100,-5.945
-365000,-6.005
-364900,-6.065
-364800,-6.125
-364700,-6.185
-364600,-6.17
-364500,-6.102
-364400,-6.034
-364300,-5.966
-364200,-5.898
-364100,-5.837
-364000,-5.814
-363900,-5.792
-363800,-5.769
-363700,-5.747
-363600,-5.724
-363500,-5.791
-363400,-5.881
-363300,-5.97
-363200,-6.059
-363100,-6.148
-363000,-6.177
-362900,-6.121
-362800,-6.065
-362700,-6.01
-362600,-5.954
-362500,-5.899
-362400,-5.879
-362300,-5.858
-362200,-5.837
-362100,-5.816
-362000,-5.796
-361900,-5.852
-361800,-5.936
-361700,-6.02
-361600,-6.105
-361500,-6.189
-361400,-6.226
-361300,-6.19
-361200,-6.155
-361100,-6.119
-361000,-6.084
-360900,-6.049
-360800,-6.018
-360700,-5.988
-360600,-5.958
-360500,-5.928
-360400,-5.897
-360300,-5.877
-360200,-5.86
-360100,-5.842
-360000,-5.825
-359900,-5.808
-359800,-5.864
-359700,-5.979
-359600,-6.095
-359500,-6.21
-359400,-6.326
-359300,-6.421
-359200,-6.464
-359100,-6.507
-359000,-6.549
-358900,-6.592
-358800,-6.634
-358700,-6.6
-358600,-6.554
-358500,-6.507
-358400,-6.461
-358300,-6.415
-358200,-6.407
-358100,-6.442
-358000,-6.478
-357900,-6.513
-357800,-6.549
-357700,-6.589
-357600,-6.668
-357500,-6.747
-357400,-6.826
-357300,-6.905
-357200,-6.984
-357100,-7.038
-357000,-7.079
-356900,-7.121
-356800,-7.162
-356700,-7.204
-356600,-7.233
-356500,-7.179
-356400,-7.125
-356300,-7.07
-356200,-7.016
-356100,-6.962
-356000,-6.961
-355900,-6.995
-355800,-7.03
-355700,-7.065
-355600,-7.099
-355500,-7.136
-355400,-7.187
-355300,-7.237
-355200,-7.288
-355100,-7.338
-355000,-7.389
-354900,-7.415
-354800,-7.424
-354700,-7.433
-354600,-7.442
-354500,-7.451
-354400,-7.46
-354300,-7.504
-354200,-7.549
-354100,-7.593
-354000,-7.638
-353900,-7.682
-353800,-7.71
-353700,-7.71
-353600,-7.71
-353500,-7.71
