Index	Region, subregion, country or area *	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
18	Eritrea	4846.976	4954.645	5068.831	5187.948	5309.659	5432.216	5555.141	5678.798	5803.376	5929.298	6056.88	6186.016	6316.482	6448.451	6582.129	6717.687	6855.107	6994.25	7135.034	7277.273	7420.805	7565.543	7711.344	7857.969	8005.125	8152.54	8300.073	8447.599	8594.901	8741.756	8887.988	9033.461	9178.086	9321.828	9464.689	9606.664	9747.675	9887.684	10026.695	10164.756	10301.88	10438.046	10573.202	10707.355	10840.49	10972.592	11103.618	11233.513	11362.223	11489.663	11615.75	11740.447	11863.684	11985.32	12105.203	12223.199	12339.236	12453.286	12565.299	12675.271	12783.154	12888.925	12992.537	13094.022	13193.371	13290.621	13385.742	13478.715	13569.555	13658.246	13744.78	13829.153	13911.361	13991.41	14069.275	14144.954	14218.451	14289.753	14358.866	14425.792	14490.515	14553.043	14613.381	14671.525	14727.455	14781.199
19	Ethiopia	99873.033	102403.196	104957.438	107534.882	110135.635	112759.07	115403.326	118065.225	120741.324	123427.617	126120.682	128817.98	131517.867	134218.92	136920.107	139620.178	142317.586	145010.282	147695.897	150371.875	153036.024	155686.416	158322.006	160942.553	163548.404	166139.393	168714.421	171271.652	173809.294	176325.273	178817.639	181284.897	183725.643	186137.98	188519.926	190869.632	193185.551	195466.255	197710.275	199916.172	202082.564	204208.147	206291.692	208332.018	210328.007	212278.592	214182.834	216039.798	217848.514	219608.052	221317.582	222976.385	224583.933	226139.95	227644.312	229096.851	230497.429	231845.706	233141.129	234383.041	235571.073	236705.093	237785.421	238812.773	239788.134	240712.37	241586.168	242409.837	243183.424	243906.792	244580.164	245204.073	245779.682	246308.653	246793.009	247234.529	247634.562	247994.071	248313.819	248594.555	248837.223	249042.98	249213.269	249349.816	249454.608	249529.919
20	Kenya	47236.259	48461.567	49699.862	50950.879	52214.791	53491.697	54780.852	56081.772	57395.145	58722.068	60063.158	61418.176	62786.272	64166.647	65558.242	66959.993	68371.214	69791.017	71217.897	72650.119	74086.106	75524.882	76965.577	78406.959	79847.748	81286.865	82723.272	84156.324	85585.822	87011.808	88434.154	89852.235	91265.247	92672.52	94073.394	95467.137	96853.106	98230.578	99598.638	100956.312	102302.686	103636.956	104958.416	106266.321	107559.944	108838.578	110101.466	111347.854	112576.964	113788.006	114980.216	116153.024	117305.781	118437.579	119547.404	120634.465	121698.202	122738.386	123754.904	124747.873	125717.353	126663.059	127584.812	128482.766	129357.199	130208.287	131036.079	131840.328	132620.596	133376.232	134106.797	134812.145	135492.403	136147.678	136778.185	137384.135	137965.646	138522.82	139055.72	139564.455	140049.179	140510.131	140947.64	141362.093	141753.991	142123.899
21	Madagascar	24234.088	24894.551	25570.895	26262.81	26969.642	27690.798	28426.106	29175.412	29938.052	30713.196	31500.077	32298.311	33107.434	33926.654	34755.062	35591.943	36436.782	37289.343	38149.373	39016.761	39891.388	40772.971	41661.283	42556.397	43458.494	44367.656	45283.723	46206.441	47135.665	48071.248	49012.988	49960.619	50913.785	51872.127	52835.205	53802.574	54773.869	55748.627	56726.164	57705.696	58686.533	59668.151	60650.175	61632.182	62613.812	63594.676	64574.346	65552.365	66528.398	67502.139	68473.226	69441.3	70405.96	71366.711	72323.008	73274.376	74220.37	75160.7	76095.178	77023.691	77946.072	78862.021	79771.13	80672.891	81566.749	82452.185	83328.886	84196.584	85054.91	85903.486	86742.01	87570.153	88387.712	89194.664	89991.059	90776.882	91551.99	92316.134	93068.99	93810.235	94539.567	95256.762	95961.633	96654.079	97334.059	98001.584
22	Malawi	17573.607	18091.575	18622.104	19164.728	19718.743	20283.691	20859.191	21445.468	22043.258	22653.625	23277.224	23914.217	24564.021	25225.545	25897.347	26578.247	27267.73	27965.73	28672.108	29386.842	30109.857	30840.793	31579.218	32324.869	33077.454	33836.707	34602.3	35373.855	36150.88	36932.805	37719.155	38509.466	39303.412	40100.768	40901.375	41705.002	42511.285	43319.721	44129.755	44940.79	45752.245	46563.628	47374.487	48184.363	48992.765	49799.238	50603.295	51404.42	52202.051	52995.621	53784.568	54568.455	55346.797	56119.055	56884.673	57643.148	58394.046	59137.004	59871.705	60597.887	61315.271	62023.525	62722.331	63411.467	64090.755	64759.965	65418.924	66067.352	66704.866	67331.017	67945.464	68547.968	69138.448	69716.887	70283.385	70837.984	71380.638	71911.223	72429.602	72935.618	73429.175	73910.216	74378.765	74834.903	75278.782	75710.602
23	Mauritius	1259.456	1262.132	1265.138	1268.315	1271.368	1274.114	1276.475	1278.528	1280.313	1281.882	1283.273	1284.502	1285.507	1286.275	1286.76	1286.934	1286.778	1286.302	1285.475	1284.273	1282.701	1280.74	1278.396	1275.684	1272.612	1269.2	1265.448	1261.389	1257.038	1252.432	1247.598	1242.572	1237.352	1231.995	1226.541	1221.03	1215.489	1209.919	1204.349	1198.773	1193.212	1187.671	1182.151	1176.653	1171.161	1165.67	1160.163	1154.667	1149.147	1143.603	1138.022	1132.403	1126.719	1120.996	1115.207	1109.336	1103.404	1097.395	1091.311	1085.168	1078.966	1072.704	1066.386	1060.026	1053.653	1047.26	1040.88	1034.498	1028.138	1021.811	1015.508	1009.267	1003.072	996.944	990.897	984.928	979.056	973.274	967.613	962.067	956.636	951.347	946.194	941.188	936.339	931.656
24	Mayotte	240.02	246.489	253.045	259.682	266.38	273.11	279.874	286.689	293.554	300.493	307.518	314.623	321.799	329.066	336.396	343.809	351.278	358.821	366.418	374.06	381.739	389.43	397.148	404.876	412.607	420.33	428.032	435.713	443.368	450.985	458.543	466.059	473.509	480.897	488.235	495.498	502.702	509.836	516.908	523.91	530.854	537.729	544.533	551.272	557.926	564.525	571.038	577.474	583.829	590.096	596.297	602.405	608.43	614.361	620.201	625.952	631.597	637.146	642.595	647.937	653.17	658.306	663.32	668.228	673.026	677.691	682.256	686.69	691.014	695.195	699.257	703.181	706.966	710.623	714.151	717.54	720.794	723.912	726.892	729.739	732.448	735.008	737.42	739.704	741.845	743.847
25	Mozambique	28010.691	28829.476	29668.834	30528.673	31408.823	32309.195	33229.664	34170.326	35131.42	36113.311	37116.198	38139.962	39184.31	40249.062	41333.97	42438.703	43562.982	44706.339	45867.925	47046.694	48241.764	49452.538	50678.58	51919.357	53174.368	54443.113	55725.109	57019.852	58326.75	59645.171	60974.587	62314.434	63664.382	65024.388	66394.596	67774.943	69165.064	70564.323	71972.177	73387.971	74811.033	76240.848	77676.782	79117.963	80563.416	82012.248	83463.708	84917.172	86372.067	87827.896	89284.091	90739.999	92194.876	93647.846	95097.992	96544.446	97986.459	99423.388	100854.703	102279.941	103698.559	105109.892	106513.216	107907.75	109292.718	110667.324	112031.01	113383.121	114722.716	116048.774	117360.436	118656.904	119937.789	121203.151	122453.334	123688.395	124907.963	126111.28	127297.364	128465.185	129613.774	130742.318	131850.2	132936.977	134002.393	135046.35
26	R?union	863.363	869.925	876.562	883.247	889.918	896.536	903.082	909.57	915.978	922.279	928.446	934.472	940.343	946.051	951.595	956.97	962.184	967.197	972	976.589	980.93	985.014	988.849	992.402	995.683	998.682	1001.399	1003.824	1005.966	1007.823	1009.419	1010.731	1011.789	1012.598	1013.183	1013.561	1013.743	1013.736	1013.558	1013.241	1012.795	1012.229	1011.573	1010.816	1009.972	1009.082	1008.129	1007.12	1006.089	1005.033	1003.972	1002.901	1001.828	1000.755	999.674	998.595	997.507	996.414	995.301	994.168	992.99	991.777	990.518	989.201	987.821	986.385	984.873	983.281	981.607	979.841	977.966	975.99	973.91	971.714	969.415	966.992	964.471	961.848	959.113	956.286	953.364	950.366	947.289	944.144	940.947	937.703
27	Rwanda	11629.553	11917.508	12208.407	12501.156	12794.412	13087.173	13378.967	13669.913	13960.532	14251.666	14543.965	14837.434	15131.882	15427.633	15725.021	16024.252	16325.334	16628.034	16932.098	17237.133	17542.746	17848.704	18154.671	18459.997	18763.878	19065.658	19364.953	19661.478	19954.727	20244.161	20529.38	20810.047	21086.028	21357.305	21623.956	21886.077	22143.519	22396.185	22644.199	22887.719	23126.854	23361.603	23591.861	23817.492	24038.318	24254.197	24465.018	24670.728	24871.256	25066.552	25256.531	25441.158	25620.276	25793.687	25961.089	26122.284	26277.166	26425.729	26567.983	26704	26833.816	26957.428	27074.833	27186.067	27291.208	27390.322	27483.437	27570.589	27651.834	27727.223	27796.802	27860.653	27918.806	27971.301	28018.144	28059.365	28095.03	28125.239	28150.111	28169.757	28184.314	28193.91	28198.648	28198.64	28193.996	28184.816
28	Seychelles	93.742	94.228	94.737	95.235	95.702	96.112	96.464	96.76	97.011	97.217	97.414	97.58	97.717	97.833	97.93	98.01	98.082	98.136	98.185	98.219	98.241	98.254	98.258	98.252	98.223	98.185	98.131	98.061	97.972	97.855	97.721	97.553	97.359	97.145	96.909	96.643	96.356	96.049	95.718	95.378	95.017	94.642	94.263	93.872	93.47	93.076	92.676	92.28	91.888	91.499	91.116	90.735	90.366	90.004	89.65	89.303	88.97	88.638	88.314	87.993	87.677	87.375	87.076	86.779	86.491	86.205	85.913	85.637	85.35	85.074	84.795	84.51	84.237	83.959	83.677	83.397	83.107	82.814	82.525	82.228	81.926	81.61	81.294	80.978	80.651	80.309
