Баранопедемия по состоянию на 2021_05_23

В Специальной Олимпиаде не участвуют:
Страна                                            	 Население(тыс)	Территория(км2)
Dem. People's Republic of Korea                   	      25840.863	       120540.0
Turkmenistan                                      	       6031.195	       488100.0
Western Sahara                                    	        597.339	       266000.0
Kiribati                                          	        122.439	          811.0
Tonga                                             	        104.494	          747.0
Palau                                             	         22.442	          459.0
Tuvalu                                            	         11.499	           26.0
Nauru                                             	         11.227	           21.0
Saint Helena                                      	          4.126	          308.0
Tokelau                                           	          1.357	           10.0
TOTAL:                                            	      32746.981	       877022.0

Участники Специальной Олимпиады без смертей:
Страна                                            	 Население(тыс)	Территория(км2)	        Случаев	 Случаев на млн
Solomon Islands                                   	        647.297	        28896.0	             20	          30.90
Vanuatu                                           	        293.934	        12189.0	              3	          10.21
New Caledonia                                     	        286.913	        18575.0	            125	         435.67
Samoa                                             	        200.117	         2842.0	              1	           5.00
Micronesia (Fed. States of)                       	        107.774	         2700.0	              1	           9.28
Dominica                                          	         75.052	          751.0	            184	        2451.63
Saint Kitts and Nevis                             	         56.813	          261.0	             46	         809.67
Greenland                                         	         56.772	      2166086.0	             34	         598.89
Marshall Islands                                  	         53.251	          181.4	              4	          75.12
Anguilla                                          	         15.283	           91.0	            109	        7132.11
Saint Pierre and Miquelon                         	          6.407	          242.0	             25	        3901.98
Falkland Islands (Malvinas)                       	          2.925	        12173.0	             63	       21538.46
Holy See                                          	          0.801	            0.3	             26	       32459.43
TOTAL:                                            	       1803.339	      2244987.7	            640	         354.90

Участники Специальной Олимпиады с населением менее 100 тыс:
Страна                                            	 Население(тыс)	Территория (км2)	        Случаев	        Смертей	 Смертей на млн
   34	Sweden                                            	      10121.686	        1058341	          14366	        1419.33         15.45%
   35	Luxembourg                                        	        603.944	          69545	            810	        1341.18         15.58%
   36	Lebanon                                           	       6019.795	         538218	           7670	        1274.13         15.59%
   37	Kosovo                                            	       1810.463	         107170	           2229	        1231.18         15.66%
   38	Latvia                                            	       1892.993	         130712	           2323	        1227.16         15.69%
   39	Bolivia (Plurinational State of)                  	      11543.982	         346070	          13857	        1200.37         15.71%
   40	Georgia                                           	       3898.529	         337573	           4622	        1185.58         15.86%
   41	Switzerland                                       	       8670.535	         684265	          10169	        1172.82         15.91%
   42	Austria                                           	       8782.210	         636861	          10280	        1170.55         16.02%
   43	Ecuador                                           	      17335.642	         417840	          20180	        1164.08         16.13%
   44	Paraguay                                          	       7066.330	         327229	           8115	        1148.40         16.35%
   45	Ukraine                                           	      43579.234	        2182521	          49368	        1132.83         16.45%
   46	Uruguay                                           	       3494.387	         258540	           3760	        1076.01         17.00%
   47	Germany                                           	      82540.450	        3648958	          87380	        1058.63         17.05%
   48	Greece                                            	      11102.572	         388929	          11734	        1056.87         18.11%
   49	Tunisia                                           	      11903.136	         334099	          12182	        1023.43         18.25%
   50	Netherlands                                       	      17181.248	        1622761	          17536	        1020.65         18.40%
   51	Ireland                                           	       4887.992	         258258	           4941	        1010.84         18.62%
   52	Aruba                                             	        106.438	          10892	            106	         995.88         18.69%
   53	Malta                                             	        434.363	          30504	            417	         960.03         18.69%
   54	Estonia                                           	       1300.559	         128592	           1240	         953.44         18.69%
   55	South Africa                                      	      58721.229	        1632572	          55772	         949.78         18.71%
   56	Iran (Islamic Republic of)                        	      83587.129	        2823887	          78381	         937.72         19.46%
   57	Jordan                                            	      10208.662	         729706	           9357	         916.57         20.54%
   58	Monaco                                            	         38.300	           2501	             32	         835.51         20.67%
   59	Albania                                           	       2942.034	         132176	           2442	         830.04         20.67%
   60	Russian Federation                                	     143786.842	        5001505	         118482	         824.01         20.71%
   61	Guam                                              	        168.727	           7896	            139	         823.82         22.55%
   62	Belize                                            	        398.007	          12764	            323	         811.54         22.55%
   63	Serbia                                            	       8703.942	         709673	           6766	         777.35         22.56%
   64	Costa Rica                                        	       5044.179	         299219	           3765	         746.40         22.67%
   65	Curacao                                           	        163.495	          12266	            122	         746.20         22.73%
   66	Israel                                            	       8713.559	         839316	           6398	         734.26         22.74%
   67	occupied Palestinian territory                    	       5322.629	         334042	           3727	         700.22         22.85%
   68	Puerto Rico                                       	       3650.608	         137610	           2471	         676.87         22.92%
   69	Canada                                            	      37603.205	        1352121	          25162	         669.15         22.96%
   70	Sint Maarten                                      	         40.900	           2346	             27	         660.15         23.45%
   71	Bonaire, Sint Eustatius and Saba                  	         26.212	           1607	             17	         648.56         23.45%
   72	Jersey                                            	        106.800	           3238	             69	         646.07         23.45%
   73	Honduras                                          	       9719.265	         231560	           6133	         631.01         23.45%
   74	Mayotte                                           	        273.110	          20176	            171	         626.12         23.57%
   75	Wallis and Futuna Islands                         	         11.551	            454	              7	         606.01         23.58%
   76	Guadeloupe                                        	        448.427	          16517	            255	         568.65         23.58%
   77	Bahamas                                           	        406.839	          11499	            225	         553.04         23.58%
   78	Turkey                                            	      83835.750	        5178648	          46071	         549.54         23.59%
   79	Bermuda                                           	         60.639	           2488	             32	         527.71         24.66%
   80	French Polynesia                                  	        290.744	          18844	            141	         484.96         24.66%
   81	Azerbaijan                                        	      10099.743	         332235	           4851	         480.31         24.67%
   82	Bahrain                                           	       1697.765	         214870	            809	         476.51         24.80%
   83	Eswatini                                          	       1439.295	          18550	            672	         466.90         24.82%
   84	Libya                                             	       6662.173	         182899	           3105	         466.06         24.84%
   85	Turks and Caicos Islands                          	         36.953	           2408	             17	         460.04         24.92%
   86	Cabo Verde                                        	        567.348	          29198	            256	         451.22         24.92%
   87	Guyana                                            	        790.782	          16014	            355	         448.92         24.93%
   88	Guatemala                                         	      17910.812	         247106	           7996	         446.43         24.94%
   89	Oman                                              	       5149.700	         209924	           2256	         438.08         25.17%
   90	Denmark                                           	       5796.800	         272659	           2507	         432.48         25.24%
   91	Suriname                                          	        577.752	          12742	            243	         420.60         25.31%
   92	Saint Martin                                      	         36.800	           1895	             15	         407.61         25.32%
   93	Kuwait                                            	       4302.875	         298223	           1724	         400.66         25.32%
   94	Saint Lucia                                       	        192.185	           4935	             77	         400.66         25.37%
   95	Antigua and Barbuda                               	        105.110	           1255	             42	         399.58         25.38%
   96	Seychelles                                        	         96.112	          10433	             38	         395.37         25.38%
   97	Iraq                                              	      41502.885	        1164149	          16158	         389.32         25.38%
   98	French Guiana                                     	        303.982	          22780	            112	         368.44         25.91%
   99	El Salvador                                       	       6479.066	          72220	           2211	         341.25         25.92%
  100	Isle of Man                                       	         85.895	           1591	             29	         337.62         26.00%
  101	Dominican Republic                                	      11108.358	         282685	           3606	         324.62         26.00%
  102	Botswana                                          	       2415.766	          54151	            784	         324.53         26.14%
  103	Jamaica                                           	       2913.160	          47899	            912	         313.06         26.17%
  104	Belarus                                           	       9415.431	         384773	           2761	         293.24         26.21%
  105	Cyprus                                            	       1207.343	          71836	            353	         292.38         26.33%
  106	Namibia                                           	       2696.537	          52712	            763	         282.96         26.35%
  107	Kyrgyzstan                                        	       6301.718	         102511	           1751	         277.86         26.38%
  108	Maldives                                          	        458.909	          54365	            123	         268.03         26.46%
  109	Kazakhstan                                        	      18777.139	         423193	           4933	         262.71         26.47%
  110	United States Virgin Islands                      	        104.858	           3308	             27	         257.49         26.71%
  111	Trinidad and Tobago                               	       1377.729	          18935	            348	         252.59         26.71%
  112	Morocco                                           	      37070.718	         516812	           9119	         245.99         26.73%
  113	Martinique                                        	        385.457	          11789	             93	         241.27         27.20%
  114	Guernsey                                          	         62.792	            822	             14	         222.96         27.21%
  115	India                                             	    1383197.753	       26530132	         299266	         216.36         27.21%
  116	Montserrat                                        	          4.649	             20	              1	         215.10         44.96%
  117	Saudi Arabia                                      	      34709.640	         439847	           7237	         208.50         44.96%
