Index	Region, subregion, country or area *	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
81	China, Macao SAR	196.483	200.49	201.274	199.292	195.132	189.461	183.047	176.753	171.523	168.289	167.796	170.465	176.188	184.25	193.563	203.231	213.196	223.42	233.004	240.842	246.195	248.739	248.767	246.947	244.284	241.628	239.085	236.695	235.198	235.479	238.118	243.427	251.219	260.997	271.993	283.581	295.677	308.275	320.877	332.901	343.935	353.764	362.459	370.345	377.96	385.686	393.567	401.564	409.837	418.604	427.979	438.081	448.896	460.147	471.453	482.559	493.32	503.823	514.348	525.313	536.969	549.439	562.531	575.841	588.781	600.942
82	China, Taiwan Province of China	7623.36	7893.06	8163.933	8440.26	8725.467	9022.183	9331.898	9655.237	9991.985	10341.215	10701.713	11072.338	11452.476	11842.14	12241.535	12649.726	13067.806	13492.499	13913.345	14316.714	14693.153	15037.995	15354.587	15651.322	15940.897	16232.672	16528.707	16826.465	17125.169	17422.717	17717.372	18009.439	18299.157	18584.306	18862.027	19130.093	19387.424	19634.014	19869.947	20095.747	20311.698	20518.8	20716.684	20902.884	21074.053	21228.512	21364.13	21483.508	21595.372	21711.573	21840.235	21985.282	22143.337	22306.338	22462.374	22602.886	22725.478	22833.013	22928.526	23017.055	23102.406	23185.01	23263.897	23339.858	23413.652	23485.755
83	Dem. People's Republic of Korea	10549.472	10248.496	10049.029	9957.242	9972.436	10086.991	10285.94	10547.389	10843.979	11145.152	11424.176	11665.595	11871.712	12065.468	12282.419	12547.525	12864.954	13222.694	13609.982	14010.339	14410.4	14809.521	15207.771	15593.351	15952.078	16274.74	16554.746	16796.578	17015.983	17235.666	17472.14	17731.23	18008.564	18298.214	18590.138	18877.238	19156.795	19431.986	19708.323	19993.755	20293.054	20609.15	20937.404	21265.834	21577.982	21862.299	22113.548	22335.638	22537.336	22731.985	22929.075	23131.81	23336.681	23538.54	23729.498	23904.167	24061.097	24203.289	24335.146	24463.021	24591.599	24722.298	24854.034	24985.976	25116.363	25243.917
84	Japan	82802.084	84315.601	85658.683	86869.425	87980.318	89018.257	90004.313	90953.954	91877.704	92782.224	93673.615	94560.845	95458.881	96389.953	97379.848	98447.002	99595.128	100820.021	102120.482	103491.93	104925.645	106425.269	107977.039	109532.878	111030.141	112423.055	113690.108	114839.12	115890.284	116878.026	117827.355	118743.18	119615.624	120438.087	121199.799	121894.038	122519.652	123083.205	123594.968	124068.903	124515.561	124940.015	125341.476	125717.524	126063.174	126375.466	126654.021	126902.628	127127.265	127335.858	127533.934	127723.513	127902.617	128067.794	128213.632	128335.767	128432.994	128505.251	128550.508	128566.659	128551.873	128505.399	128426.384	128312.92	128162.873	127974.958
85	Mongolia	780.199	793.538	807.921	823.06	838.785	855.103	872.156	890.274	909.89	931.481	955.505	982.178	1011.324	1042.383	1074.514	1107.124	1139.961	1173.191	1207.104	1242.214	1278.825	1317.05	1356.67	1397.304	1438.425	1479.651	1520.865	1562.209	1603.906	1646.291	1689.622	1733.475	1777.727	1823.216	1871.09	1921.881	1976.309	2033.343	2089.714	2141.008	2184.145	2217.918	2243.502	2263.2	2280.496	2298.039	2316.567	2335.695	2355.59	2376.162	2397.436	2419.776	2443.659	2469.286	2496.832	2526.446	2558.012	2591.67	2628.131	2668.289	2712.65	2761.516	2814.226	2869.107	2923.896	2976.877
86	Republic of Korea	19211.385	19459.429	19829.39	20307.897	20880.428	21531.331	22243.633	22999.243	23779.372	24565.349	25340.918	26094.75	26822.585	27528.214	28220.78	28907.071	29584.631	30249.456	30905.365	31557.578	32209.314	32863.704	33518.385	34164.544	34789.935	35386.507	35948.932	36481.585	36997.8	37516.487	38050.424	38606.821	39179.545	39752.024	40300.401	40808.569	41269.319	41690.833	42091.026	42495.728	42923.131	43378.101	43853.448	44340.558	44825.885	45298.611	45757.361	46202.604	46627.442	47023.88	47386.312	47712.788	48004.786	48265.026	48498.083	48708.497	48895.845	49062.429	49218.985	49379.208	49552.855	49744.659	49952.244	50169.242	50385.56	50593.662
87	South-Central Asia	510788.123	519193.396	528135.157	537602.32	547586.38	558080.97	569082.268	580588.811	592601.079	605120.681	618148.451	631682.127	645714.344	660231.897	675218.103	690659.688	706562.594	722927.998	739733.869	756952.271	774570.069	792575.68	810994.858	829898.266	849381.155	869513.942	890308.666	911750.078	933844.876	956592.873	979983.522	1004001.69	1028615.567	1053772.099	1079404.172	1105444.993	1131872.757	1158639.548	1185620.728	1212664.786	1239658.954	1266534.631	1293295.846	1319994.593	1346722.711	1373543.322	1400447.106	1427390.72	1454362.517	1481345.439	1508317.036	1535283.08	1562217.455	1589027.258	1615592.747	1641830.209	1667689.93	1693195.935	1718429.376	1743512.483	1768530.742	1793502.411	1818387.627	1843142.952	1867702.391	1892013.476
88	Central Asia	17449.546	17889.859	18412.254	19003.769	19653.482	20352.402	21093.667	21872.356	22685.293	23530.501	24405.882	25307.615	26228.976	27159.66	28087.403	29002.753	29901.586	30783.226	31646.044	32489.83	33315.14	34120.85	34908.186	35683.434	36455.078	37230.082	38010.462	38797.068	39594.368	40407.183	41238.835	42087.146	42950.622	43833.364	44740.499	45672.65	46633.391	47612.855	48581.73	49501.228	50343.305	51100.938	51781.574	52390.433	52938.381	53436.859	53885.824	54292.276	54684.25	55097.49	55559.337	56082.293	56665.898	57307.871	58000.41	58737.838	59518.516	60345.972	61224.785	62161.019	63156.447	64212.215	65319.007	66454.885	67590.949	68705.005
89	Kazakhstan	6702.991	6831.323	7041.797	7315.651	7636.83	7991.998	8370.63	8764.919	9169.454	9580.799	9996	10411.028	10819.457	11211.86	11577.469	11909.003	12201.038	12455.711	12682.931	12897.413	13109.996	13324.67	13538.749	13748.319	13946.819	14130.071	14296.769	14450.533	14597.846	14747.561	14905.889	15072.355	15244.045	15421.226	15603.72	15789.437	15980.988	16173.101	16346.206	16474.563	16540.258	16540.017	16481.113	16370	16217.491	16034.956	15820.631	15581.752	15349.899	15165.574	15057.363	15039.971	15105.645	15232.325	15385.916	15541.457	15690.861	15841.355	16001.176	16184.163	16398.976	16647.38	16921.179	17207.257	17487.779	17749.648
90	Kyrgyzstan	1740.004	1765.555	1795.13	1828.195	1864.495	1904.06	1947.219	1994.561	2046.915	2105.181	2170.093	2241.753	2319.455	2401.463	2485.43	2569.458	2653.05	2736.076	2817.335	2895.544	2969.864	3039.767	3105.535	3168.293	3229.688	3291.077	3352.618	3414.32	3477.229	3542.522	3610.981	3682.672	3757.184	3834.168	3913.058	3993.106	4075.187	4158.607	4239.295	4311.868	4372.89	4419.631	4454.189	4483.84	4518.801	4566.087	4629.398	4705.638	4786.773	4861.129	4920.718	4962.59	4990.687	5012.269	5037.929	5075.38	5126.73	5189.72	5262.294	5340.781	5422.337	5506.601	5594.108	5683.808	5774.566	5865.401
91	Tajikistan	1531.501	1584.992	1637.95	1690.334	1742.345	1794.414	1847.251	1901.775	1959.137	2020.554	2087.038	2159.123	2236.559	2318.234	2402.455	2487.953	2574.478	2662.23	2750.894	2840.228	2930.079	3020.391	3111.264	3203.019	3296.095	3390.935	3487.644	3586.499	3688.385	3794.42	3905.413	4020.778	4140.258	4265.247	4397.525	4537.789	4687.283	4843.951	5001.11	5149.803	5283.728	5400.714	5502.976	5594.114	5679.832	5764.712	5849.54	5934.282	6021.691	6114.886	6216.205	6327.125	6447.688	6576.877	6712.841	6854.176	7000.557	7152.385	7309.728	7472.819	7641.63	7815.949	7995.062	8177.809	8362.745	8548.651
92	Turkmenistan	1210.994	1231.829	1258.388	1289.826	1325.434	1364.634	1406.981	1452.173	1500.017	1550.411	1603.258	1658.362	1715.408	1773.853	1833.063	1892.599	1952.141	2011.763	2071.789	2132.799	2195.173	2258.964	2324.013	2390.213	2457.382	2525.361	2594.311	2664.257	2734.896	2805.818	2876.808	2947.779	3019.066	3091.511	3166.221	3244.018	3324.456	3407.319	3493.894	3585.867	3683.966	3789.185	3899.843	4010.789	4115.099	4207.84	4287.344	4355.114	4413.477	4466.132	4516.131	4564.08	4610.002	4655.741	4703.398	4754.641	4810.105	4870.137	4935.762	5007.95	5087.21	5174.061	5267.839	5366.277	5466.241	5565.284
93	Uzbekistan	6264.056	6476.16	6678.989	6879.763	7084.378	7297.296	7521.586	7758.928	8009.77	8273.556	8549.493	8837.349	9138.097	9454.25	9788.986	10143.74	10520.879	10917.446	11323.095	11723.846	12110.028	12477.058	12828.625	13173.59	13525.094	13892.638	14279.12	14681.459	15096.012	15516.862	15939.744	16363.562	16790.069	17221.212	17659.975	18108.3	18565.477	19029.877	19501.225	19979.127	20462.463	20951.391	21443.453	21931.69	22407.158	22863.264	23298.911	23715.49	24112.41	24489.769	24848.92	25188.527	25511.876	25830.659	26160.326	26512.184	26890.263	27292.375	27715.825	28155.306	28606.294	29068.224	29540.819	30019.734	30499.618	30976.021
94	Southern Asia	493338.577	501303.537	509722.903	518598.551	527932.898	537728.568	547988.601	558716.455	569915.786	581590.18	593742.569	606374.512	619485.368	633072.237	647130.7	661656.935	676661.008	692144.772	708087.825	724462.441	741254.929	758454.83	776086.672	794214.832	812926.077	832283.86	852298.204	872953.01	894250.508	916185.69	938744.687	961914.544	985664.945	1009938.735	1034663.673	1059772.343	1085239.366	1111026.693	1137038.998	1163163.558	1189315.649	1215433.693	1241514.272	1267604.16	1293784.33	1320106.463	1346561.282	1373098.444	1399678.267	1426247.949	1452757.699	1479200.787	1505551.557	1531719.387	1557592.337	1583092.371	1608171.414	1632849.963	1657204.591	1681351.464	1705374.295	1729290.196	1753068.62	1776688.067	1800111.442	1823308.471
95	Afghanistan	7752.118	7839.51	7934.98	8038.596	8150.447	8270.581	8399.03	8535.807	8680.946	8834.445	8996.351	9166.764	9345.868	9533.954	9731.361	9938.414	10152.331	10372.63	10604.346	10854.428	11126.123	11417.825	11721.94	12027.822	12321.541	12590.286	12840.299	13067.538	13237.734	13306.695	13248.37	13053.954	12749.645	12389.269	12047.115	11783.05	11601.041	11502.761	11540.888	11777.609	12249.114	12993.657	13981.231	15095.099	16172.719	17099.541	17822.884	18381.605	18863.999	19403.676	20093.756	20966.463	21979.923	23064.851	24118.979	25070.798	25893.45	26616.792	27294.031	28004.331	28803.167	29708.599	30696.958	31731.688	32758.02	33736.494
96	Bangladesh	37894.681	38705.076	39491.056	40300.362	41169.065	42121.524	43169.927	44314.819	45546.484	46847.445	48199.747	49592.802	51030.137	52532.417	54129.1	55834.038	57672.99	59620.669	61579.473	63417.394	65047.77	66424.744	67597.47	68691.185	69884.42	71305.923	72999.136	74925.896	77033.846	79236.776	81470.86	83721.268	86007.331	88338.242	90732.362	93199.865	95742.431	98343.809	100975.321	103599.232	106188.642	108727.432	111221.938	113695.139	116182.267	118706.871	121269.645	123854.64	126447.965	129029.691	131581.243	134107.16	136600.667	139019.001	141307.489	143431.101	145368.004	147139.191	148805.814	150454.708	152149.102	153911.916	155727.053	157571.292	159405.279	161200.886
97	Bhutan	176.797	180.825	184.79	188.816	193.011	197.457	202.174	207.165	212.384	217.773	223.288	228.918	234.706	240.778	247.325	254.464	262.244	270.622	279.515	288.774	298.301	308.053	318.045	328.312	338.943	349.982	361.455	373.324	385.384	397.39	409.172	420.38	431.05	441.847	453.72	467.178	482.952	500.437	517.273	530.257	537.28	537.284	531.525	523.117	516.503	514.877	519.282	528.754	542.155	557.543	573.416	589.6	606.399	623.434	640.282	656.639	672.228	686.958	700.95	714.458	727.641	740.51	752.967	764.961	776.448	787.386
98	India	376325.2	382245.303	388538.62	395160.091	402077.026	409269.055	416728.771	424461.108	432481.663	440813.896	449480.608	458494.963	467852.537	477527.97	487484.535	497702.365	508161.935	518889.779	529967.317	541505.076	553578.513	566224.812	579411.513	593058.926	607050.255	621301.72	635771.734	650485.03	665502.284	680915.804	696783.517	713118.032	729868.013	746949.067	764245.202	781666.671	799181.436	816792.741	834489.322	852270.034	870133.48	888054.875	906021.106	924057.817	942204.249	960482.795	978893.217	997405.318	1015974.042	1034539.214	1053050.912	1071477.855	1089807.112	1108027.848	1126135.777	1144118.674	1161977.719	1179681.239	1197146.906	1214270.132	1230980.691	1247236.029	1263065.852	1278562.207	1293859.294	1309053.98
99	Iran (Islamic Republic of)	17119.268	17516.575	17933.356	18368.896	18822.603	19293.999	19782.701	20288.436	20811.061	21350.524	21906.903	22480.418	23071.429	23680.432	24308.085	24955.115	25624.656	26318.119	27032.943	27765.243	28514.01	29281.268	30074.298	30904.271	31785.5	32730.554	33737.768	34810.723	35972.652	37252.659	38668.22	40217.629	41883.332	43645.092	45474.708	47342.702	49256.842	51197.482	53075.618	54777.114	56226.185	57375.584	58260.738	58991.218	59725.125	60575.644	61583.089	62710.557	63900.63	65062.66	66131.854	67096.414	67983.33	68812.713	69617.1	70421.811	71227.88	72031.103	72845.542	73687.565	74567.511	75491.582	76453.574	77435.384	78411.092	79360.487
100	Maldives	73.714	74.223	75.194	76.486	78.016	79.714	81.52	83.435	85.451	87.59	89.887	92.35	94.938	97.584	100.214	102.766	105.19	107.538	109.959	112.651	115.768	119.378	123.441	127.791	132.195	136.519	140.665	144.736	148.892	153.386	158.385	163.935	169.96	176.356	182.953	189.637	196.357	203.124	209.885	216.595	223.215	229.754	236.19	242.459	248.433	254.082	259.327	264.275	269.206	274.484	280.384	287.027	294.341	302.209	310.423	318.836	327.371	336.07	345.054	354.501	364.511	375.131	386.203	397.397	408.247	418.403
101	Nepal	8483.325	8658.31	8824.455	8984.311	9140.059	9293.493	9446.009	9598.63	9752.049	9906.689	10063.011	10221.759	10384.204	10552.267	10728.197	10913.724	11109.884	11316.826	11534.264	11761.473	11997.929	12243.768	12499.429	12764.957	13040.404	13325.814	13621.11	13926.26	14241.403	14566.691	14902.163	15249.01	15607.236	15974.42	16347.242	16723.956	17101.136	17480.921	17873.667	18293.514	18749.406	19245.054	19773.772	20321.175	20867.13	21396.384	21903.379	22389.803	22856.305	23305.994	23740.911	24161.777	24566.342	24950.623	25309.449	25640.287	25940.618	26214.847	26475.859	26741.103	27023.137	27327.147	27649.925	27985.31	28323.241	28656.282
102	Pakistan	37542.376	37975.281	38483.891	39063.874	39711.643	40424.296	41199.696	42036.393	42933.593	43890.982	44908.293	45984.892	47119.361	48309.315	49551.904	50845.221	52191.095	53590.929	55042.397	56542.434	58090.759	59687.14	61338.261	63059.481	64870.833	66787.901	68813.22	70946.231	73194.937	75567.682	78068.144	80696.945	83445.863	86297.64	89228.949	92219.488	95264.46	98357.473	101474.835	104588.49	107678.614	110730.42	113747.135	116749.56	119769.556	122829.148	125938.339	129086.987	132253.264	135405.584	138523.285	141601.437	144654.143	147703.401	150780.3	153909.667	157093.993	160332.974	163644.603	167049.58	170560.182	174184.265	177911.533	181712.595	185546.257	189380.513
103	Sri Lanka	7971.098	8108.434	8256.561	8417.119	8591.028	8778.449	8978.773	9190.662	9412.155	9640.836	9874.481	10111.646	10352.188	10597.52	10849.979	11110.828	11380.683	11657.66	11937.611	12214.968	12485.756	12747.842	13002.275	13252.087	13501.986	13755.161	14012.817	14273.272	14533.376	14788.607	15035.856	15273.391	15502.515	15726.802	15951.422	16179.796	16412.711	16647.945	16882.189	17110.713	17329.713	17539.633	17740.637	17928.576	18098.348	18247.121	18372.12	18476.505	18570.701	18669.103	18781.938	18913.054	19059.3	19215.307	19372.538	19524.558	19670.151	19810.789	19945.832	20075.086	20198.353	20315.017	20424.555	20527.233	20623.564	20714.04
104	South-Eastern Asia	164524.62	168303.118	172354.432	176667.904	181233.041	186039.45	191076.787	196334.938	201803.83	207473.575	213334.62	219377.658	225593.983	231975.313	238513.773	245201.585	252026.729	258980.417	266061.501	273271.555	280607.392	288078.869	295672.874	303337.315	311003.593	318628.494	326177.627	333678.84	341227.097	348955.777	356956.47	365255.698	373810.15	382554.78	391392.508	400245.792	409096.267	417944.225	426751.81	435479.213	444096.651	452580.255	460926.785	469154.338	477294.682	485370.619	493385.961	501330.486	509197.176	516975.054	524657.117	532250.427	539762.712	547189.695	554525.11	561770.198	568911.059	575964.112	582996.692	590098.259	597327.771	604713.31	612222.205	619777.173	627267.298	634609.846
105	Brunei Darussalam	48.001	50.961	53.927	56.968	60.12	63.42	66.862	70.457	74.15	77.919	81.745	85.596	89.516	93.576	97.848	102.425	107.316	112.494	117.95	123.653	129.583	135.726	142.073	148.56	155.109	161.671	168.224	174.773	181.257	187.656	193.949	200.085	206.128	212.136	218.227	224.512	230.972	237.622	244.458	251.514	258.785	266.274	273.963	281.751	289.525	297.192	304.699	312.038	319.222	326.289	333.241	340.117	346.867	353.389	359.523	365.158	370.25	374.864	379.252	383.772	388.662	394.013	399.748	405.716	411.704	417.542
106	Cambodia	4432.714	4537.543	4656.277	4783.092	4913.695	5045.288	5176.658	5308.142	5441.319	5578.675	5722.37	5873.015	6028.551	6183.747	6331.583	6467.197	6584.766	6685.321	6778.723	6879.184	6994.848	7137.749	7300.152	7447.285	7531.424	7522.593	7402.873	7194.279	6955.566	6768.724	6692.107	6748.193	6918.101	7168.236	7446.019	7712.978	7958.976	8196.037	8433.798	8689.152	8973.342	9286.976	9621.504	9968.275	10315.376	10653.558	10980.273	11295.88	11597.739	11883.636	12152.354	12402.473	12634.729	12853.124	13063.377	13270.201	13474.489	13676.693	13880.509	14090.208	14308.74	14537.886	14776.866	15022.692	15270.79	15517.635
107	Indonesia	69543.316	70869.609	72309.9	73866.521	75539.737	77327.794	79226.787	81230.747	83332.05	85521.979	87792.515	90138.235	92558.005	95055.665	97638.029	100308.894	103067.354	105907.403	108821.564	111800.091	114834.78	117921.998	121059.513	124242.298	127465.231	130724.115	134010.69	137322.118	140665.856	144053.518	147490.365	150978.84	154506.265	158044.343	161555.583	165012.196	168402.025	171728.917	175000.916	178233.223	181436.821	184615.979	187766.086	190879.523	193945.272	196957.849	199914.831	202826.465	205715.544	208612.556	211540.429	214506.502	217508.059	220545.214	223614.649	226712.73	229838.202	232989.141	236159.276	239340.478	242524.123	245707.511	248883.232	252032.263	255131.116	258162.113
108	Lao People's Democratic Republic	1682.915	1723.162	1764.007	1805.515	1847.775	1890.852	1934.812	1979.729	2025.666	2072.699	2120.896	2170.343	2221.122	2273.349	2327.137	2382.594	2439.196	2496.92	2556.852	2620.434	2688.428	2762.265	2840.841	2919.287	2990.965	3051.577	3098.973	3135.842	3168.843	3207.328	3258.144	3323.377	3401.242	3489.977	3586.381	3687.898	3794.043	3905.163	4020.295	4138.408	4258.472	4380.073	4502.363	4623.28	4740.38	4851.923	4957.18	5056.519	5150.763	5241.284	5329.304	5414.568	5497.273	5579.656	5664.605	5754.026	5849.356	5949.787	6052.19	6152.036	6246.274	6333.487	6415.169	6494.557	6576.397	6663.967
109	Malaysia	6109.915	6271.486	6450.083	6640.041	6837.358	7039.719	7246.538	7458.898	7679.27	7911.036	8157.106	8418.46	8692.815	8974.084	9253.963	9526.563	9789.982	10046.172	10297.801	10549.226	10803.978	11062.338	11324.251	11592.698	11871.233	12162.369	12468.893	12790.546	13123.069	13460.201	13798.125	14133.84	14470.633	14818.617	15191.625	15598.942	16045.047	16525.108	17027.588	17535.971	18038.321	18529.454	19012.724	19494.967	19986.894	20495.597	21023.321	21565.325	22113.464	22656.286	23185.608	23698.907	24198.811	24688.703	25174.109	25659.393	26143.566	26625.845	27111.069	27605.383	28112.289	28635.128	29170.456	29706.724	30228.017	30723.155
110	Myanmar	17151.51	17470.06	17796.4	18135.962	18492.475	18867.968	19262.647	19675.044	20102.248	20540.399	20986.123	21438.025	21898.02	22371.902	22867.741	23391.145	23944.178	24524.548	25128.116	25748.643	26381.431	27024.985	27680.144	28347.341	29027.734	29721.967	30428.034	31144.324	31872.23	32613.888	33369.712	34139.13	34917.895	35697.943	36468.888	37222.296	37957.332	38673.241	39362.142	40014.862	40626.25	41190.156	41711.465	42209.778	42712.223	43237.792	43793.31	44371.525	44959.935	45539.435	46095.462	46627.994	47140.22	47624.894	48073.707	48482.614	48846.474	49171.586	49479.752	49800.69	50155.896	50553.031	50986.514	51448.196	51924.182	52403.669
111	Philippines	18580.49	19246.611	19945.661	20670.544	21416.1	22179.101	22958.355	23754.593	24570.175	25408.603	26273.025	27164.617	28081.231	29016.771	29962.876	30913.933	31867.563	32826.599	33797.042	34787.588	35804.729	36851.055	37925.4	39026.082	40149.961	41295.124	42461.193	43650.333	44866.273	46113.995	47396.968	48715.592	50068.493	51455.033	52873.974	54323.648	55804.072	57313.311	58845.205	60391.867	61947.348	63508.459	65075.486	66650.247	68236.23	69835.715	71446.107	73064.764	74693.695	76335.812	77991.569	79665.315	81352.06	83031.954	84678.493	86274.237	87809.419	89293.49	90751.864	92220.879	93726.624	95277.94	96866.642	98481.032	100102.249	101716.359
112	Singapore	1022.096	1067.794	1119.934	1177.575	1239.681	1305.091	1372.489	1440.459	1507.512	1572.136	1633.086	1689.546	1741.417	1789.338	1834.493	1877.808	1919.268	1958.726	1996.866	2034.528	2072.29	2110.975	2150.524	2189.635	2226.404	2259.748	2288.888	2315.015	2341.429	2372.615	2411.7	2460.387	2517.579	2580.261	2643.951	2705.535	2763.589	2819.601	2876.892	2940.264	3012.953	3096.57	3189.433	3287.588	3385.35	3478.779	3566.133	3649.135	3731.44	3818.462	3913.96	4018.779	4131.208	4249.295	4370.04	4491.042	4611.901	4732.528	4851.109	4965.518	5074.252	5176.017	5270.958	5360.837	5448.342	5535.262
113	Thailand	20710.36	21263.202	21837.985	22436.533	23060.43	23711.046	24389.519	25096.792	25833.553	26600.275	27397.175	28224.204	29081.034	29967.041	30881.332	31822.796	32789.096	33778.504	34790.945	35826.804	36884.913	37964.925	39061.994	40164.966	41259.536	42334.954	43386.841	44416.01	45423.436	46412.307	47385.323	48337.503	49267.56	50186.199	51108.082	52041.469	52996.467	53964.406	54912.334	55795.106	56582.821	57258.401	57837.878	58364.891	58901.666	59491.79	60151.472	60863.506	61597.283	62306.651	62958.021	63543.322	64073.164	64554.952	65002.231	65425.47	65824.164	66195.615	66545.76	66881.867	67208.808	67530.13	67843.979	68143.065	68416.772	68657.6
114	Timor-Leste	433.397	438.237	443.42	448.981	454.968	461.385	468.246	475.546	483.279	491.423	499.95	508.845	518.107	527.749	537.786	548.218	558.676	569.031	579.807	591.739	605.125	620.945	638.499	654.437	664.223	664.984	654.947	636.096	613.857	595.872	587.563	591.005	604.43	624.648	646.688	666.945	684.184	699.522	714.474	731.444	751.933	777.011	805.435	833.611	856.684	871.447	875.916	871.994	865.194	863.269	871.607	892.531	923.825	960.852	996.698	1026.484	1048.621	1064.973	1078.11	1092.021	1109.591	1131.523	1156.76	1184.366	1212.814	1240.977
115	Viet Nam	24809.906	25364.453	25976.838	26646.172	27370.702	28147.786	28973.874	29844.531	30754.608	31698.431	32670.629	33666.772	34684.165	35722.091	36780.985	37860.012	38959.334	40074.699	41195.835	42309.665	43407.287	44485.908	45549.483	46604.726	47661.773	48729.392	49808.071	50899.504	52015.281	53169.673	54372.514	55627.746	56931.824	58277.387	59653.09	61049.373	62459.56	63881.297	65313.708	66757.402	68209.605	69670.902	71130.448	72560.427	73925.082	75198.977	76372.719	77453.335	78452.897	79391.374	80285.562	81139.919	81956.496	82747.662	83527.678	84308.843	85094.617	85889.59	86707.801	87565.407	88472.512	89436.644	90451.881	91497.725	92544.915	93571.567
116	Western Asia	51192.591	52453.266	53770.594	55136.344	56545.266	57994.982	59486.123	61022.126	62608.941	64254.167	65964.628	67744.181	69591.51	71498.995	73455.602	75454.387	77493.054	79577.398	81718.198	83930.584	86225.833	88609.698	91081.06	93636.455	96269.42	98976.23	101750.45	104596.05	107531.419	110581.603	113761.169	117077.936	120516.476	124039.434	127595.33	131146.248	134676.421	138192.089	141703.741	145231.13	148787.931	152381.099	156003.301	159638.092	163262.469	166863.594	170445.557	174027.234	177630.636	181284.968	185018.877	188820.357	192703.315	196751.174	201071.347	205730.682	210765.462	216126.272	221686.411	227268.148	232738.024	238050.855	243226.565	248276.353	253233.89	258123.914
117	Armenia	1353.51	1381.872	1418.276	1461.424	1510.171	1563.505	1620.593	1680.714	1743.303	1807.917	1874.12	1941.491	2009.526	2077.575	2144.998	2211.316	2276.031	2339.124	2401.14	2462.925	2525.065	2587.706	2650.484	2712.781	2773.747	2832.757	2889.579	2944.379	2997.411	3049.105	3099.751	3148.092	3193.686	3238.594	3285.595	3335.935	3392.256	3451.942	3504.651	3536.469	3538.165	3505.251	3442.81	3363.098	3283.66	3217.342	3168.215	3133.086	3108.684	3089.017	3069.588	3050.655	3033.897	3017.806	3000.612	2981.259	2958.5	2933.056	2908.22	2888.584	2877.311	2875.581	2881.922	2893.509	2906.22	2916.95
118	Azerbaijan	2927.921	2987.267	3060.011	3142.813	3233.166	3329.387	3430.66	3537.027	3649.191	3768.331	3895.396	4030.32	4171.425	4315.128	4456.689	4592.61	4721.525	4843.87	4960.235	5071.93	5180.025	5284.532	5385.267	5483.084	5579.077	5674.137	5768.724	5863.134	5957.929	6053.645	6150.738	6249.32	6349.558	6452.076	6557.585	6666.455	6778.633	6893.5	7010.036	7126.891	7242.77	7357.956	7471.933	7581.761	7683.709	7775.426	7855.553	7925.669	7989.904	8054.125	8122.741	8197.279	8277.015	8361.359	8448.882	8538.606	8630.195	8724.304	8821.908	8924.407	9032.457	9146.379	9264.917	9385.293	9503.771	9617.484
119	Bahrain	115.611	116.832	119.586	123.489	128.253	133.585	139.268	145.109	150.982	156.777	162.427	167.894	173.144	178.14	182.887	187.431	191.78	196.063	200.653	206.043	212.605	220.312	229.155	239.527	251.911	266.543	283.752	303.175	323.473	342.798	359.888	374.12	385.95	396.454	407.227	419.43	433.482	448.973	465.202	481.09	495.931	509.765	523.087	536.213	549.588	563.699	578.668	594.93	613.702	636.545	664.614	697.549	735.148	778.711	829.848	889.168	958.414	1035.891	1114.59	1185.029	1240.862	1278.269	1300.217	1315.411	1336.397	1371.855
120	Cyprus	494.015	500.381	506.627	513.434	521.184	529.972	539.565	549.461	558.895	566.982	572.93	576.395	577.691	577.913	578.627	580.966	585.308	591.308	598.493	606.113	613.621	620.859	628.002	635.111	642.339	649.755	657.534	665.528	673.251	680.011	685.406	689.173	691.702	694.077	697.717	703.687	712.341	723.38	736.479	751.044	766.614	783.129	800.609	818.751	837.11	855.384	873.423	891.192	908.704	926.05	943.286	960.282	976.966	993.563	1010.41	1027.658	1045.509	1063.712	1081.563	1098.076	1112.607	1124.835	1135.062	1143.896	1152.309	1160.985
121	Georgia	3527.008	3555.87	3588.619	3625.601	3667.064	3713.121	3763.763	3818.847	3878.127	3941.233	4007.713	4077.069	4148.73	4222.142	4296.656	4371.521	4446.824	4521.709	4593.305	4658	4713.322	4758.145	4793.55	4822.16	4847.853	4873.619	4900.179	4927.244	4955.501	4985.563	5017.818	5051.225	5085.514	5122.384	5164.137	5211.441	5266.826	5327.228	5380.909	5412.147	5410.372	5370.649	5298.086	5204.634	5107.674	5020.061	4945.566	4881.248	4825.186	4773.169	4722.059	4672.162	4624.88	4579.082	4533.329	4486.547	4438.896	4390.535	4340.514	4287.696	4231.661	4171.256	4107.719	4045.91	3992.346	3951.524
