Index	Region, subregion, country or area *	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
29	Somalia	2264.082	2307.673	2351.929	2397.159	2443.625	2491.52	2540.989	2592.133	2644.994	2699.595	2755.947	2814.096	2874.19	2936.443	3001.126	3068.437	3143.836	3228.495	3313.786	3387.632	3444.553	3470.324	3475.022	3506.008	3627.504	3880.32	4289.469	4827.362	5417.74	5953.615	6359.126	6604.872	6716.448	6740.22	6747.932	6791.716	6887.372	7018.109	7165.295	7298.417	7397.347	7455.936	7488.544	7519.811	7583.954	7704.894	7892.389	8137.475	8422.372	8720.231	9011.479	9290.823	9564.167	9836.397	10116.228	10409.925	10718.317	11038.596	11369.276	11707.99	12053.223	12404.725	12763.776	13132.349	13513.125	13908.129
30	South Sudan	2582.929	2601.651	2625.126	2653.097	2685.325	2721.544	2761.544	2805.106	2852.016	2902.083	2955.152	3011.11	3069.913	3131.557	3196.113	3263.638	3334.191	3407.8	3484.537	3564.465	3647.709	3734.418	3824.762	3918.922	4017.075	4119.438	4224.529	4332.287	4445.826	4569.423	4705.224	4853.927	5011.726	5170.558	5319.609	5450.424	5565.545	5666.078	5741.235	5777.498	5768.481	5705.378	5599.814	5490.915	5431.738	5459.519	5591.114	5814.006	6099.923	6405.864	6700.656	6974.442	7237.276	7501.642	7787.655	8108.877	8468.152	8856.8	9263.136	9670.667	10067.192	10448.857	10818.258	11177.49	11530.971	11882.136
31	Uganda	5158.19	5308.668	5455.54	5601.239	5748.208	5898.835	6055.517	6220.629	6396.463	6585.105	6788.214	7006.633	7240.174	7487.429	7746.198	8014.401	8292.776	8580.676	8872.92	9162.833	9446.064	9720.399	9988.38	10256.429	10533.716	10827.147	11139.833	11470.867	11818.307	12178.544	12549.54	12930.209	13323.332	13735.271	14174.47	14646.624	15154.521	15695.411	16262.533	16846.09	17438.907	18040.438	18652.889	19275.422	19907.634	20550.291	21202.118	21865.931	22551.789	23272.995	24039.274	24854.892	25718.048	26624.82	27568.436	28543.94	29550.662	30590.487	31663.896	32771.895	33915.133	35093.648	36306.796	37553.726	38833.338	40144.87
32	United Republic of Tanzania	7649.761	7847.305	8055.911	8274.746	8503.221	8740.986	8987.975	9244.352	9510.514	9787.033	10074.507	10373.398	10683.906	11005.905	11339.097	11683.528	12038.903	12406.04	12787.489	13186.557	13605.529	14045.824	14506.617	14985.131	15477.294	15980.301	16493.305	17017.67	17555.494	18109.884	18683.157	19277.108	19891.548	20524.666	21173.603	21836.999	22511.243	23198.533	23909.954	24660.575	25459.604	26315.013	27219.619	28149.328	29070.615	29960.776	30811.854	31635.251	32451.713	33291.54	34178.042	35117.019	36105.808	37149.072	38249.984	39410.545	40634.948	41923.715	43270.144	44664.231	46098.591	47570.902	49082.997	50636.595	52234.869	53879.957
33	Zambia	2310.442	2366.628	2427.991	2493.513	2562.483	2634.464	2709.359	2787.337	2868.841	2954.483	3044.846	3140.264	3240.587	3345.145	3452.942	3563.407	3676.189	3791.887	3912.085	4038.923	4173.928	4317.748	4469.895	4629.402	4794.754	4964.831	5139.03	5317.631	5501.445	5691.749	5889.23	6094.206	6305.709	6521.542	6738.765	6955.212	7170.656	7385.686	7600.072	7813.808	8027.253	8239.732	8452.275	8669.168	8896.109	9137.077	9394.304	9666.578	9950.224	10239.714	10531.221	10824.125	11120.409	11421.984	11731.746	12052.156	12383.446	12725.974	13082.517	13456.417	13850.033	14264.756	14699.937	15153.21	15620.974	16100.587
34	Zimbabwe	2746.852	2829.75	2917.368	3008.925	3103.899	3202.015	3303.265	3407.908	3516.399	3629.356	3747.369	3870.756	3999.419	4132.756	4269.863	4410.212	4553.433	4700.041	4851.431	5009.514	5175.618	5351.195	5535.874	5727.044	5920.943	6115.37	6308.3	6501.893	6703.182	6921.79	7164.172	7431.94	7721.536	8027.565	8342.195	8658.857	8976.205	9293.283	9604.302	9902.54	10183.113	10443.043	10682.868	10905.756	11116.948	11320.346	11518.262	11709.997	11893.272	12064.537	12222.251	12366.165	12500.525	12633.897	12777.511	12940.032	13124.267	13329.909	13558.469	13810.599	14086.317	14386.649	14710.826	15054.506	15411.675	15777.451
35	Middle Africa	26453.762	26964.613	27489.974	28031.958	28592.555	29173.448	29776.158	30401.992	31052.071	31727.337	32428.782	33157.346	33914.243	34700.768	35518.451	36368.441	37252.708	38172.001	39124.76	40108.43	41121.907	42164.596	43239.385	44352.986	45514.244	46729.589	48002.938	49333.362	50716.63	52145.92	53616.947	55133.231	56699.473	58314.641	59977.123	61688.663	63437.72	65231.293	67111.126	69132.987	71331.287	73736.618	76323.994	79005.063	81656.738	84195.938	86588.291	88875.647	91144.828	93521.619	96098.868	98904.195	101915.477	105115.738	108470.523	111954.048	115567.081	119320.013	123206.46	127218.929	131351.399	135600.334	139964.428	144442.785	149035.564	153742.724
36	Angola	4548.023	4659.333	4774.561	4890.469	5004.763	5116.071	5224.003	5329.099	5432.717	5536.779	5643.182	5753.024	5866.061	5980.417	6093.321	6203.299	6309.77	6414.995	6523.791	6642.632	6776.381	6927.269	7094.834	7277.96	7474.338	7682.479	7900.997	8130.988	8376.147	8641.521	8929.9	9244.507	9582.156	9931.562	10277.321	10609.042	10921.037	11218.268	11513.968	11827.237	12171.441	12553.446	12968.345	13403.734	13841.301	14268.994	14682.284	15088.981	15504.318	15949.766	16440.924	16983.266	17572.649	18203.369	18865.716	19552.542	20262.399	20997.687	21759.42	22549.547	23369.131	24218.565	25096.15	25998.34	26920.466	27859.305
37	Cameroon	4307.022	4382.927	4460.318	4539.443	4620.627	4704.233	4790.714	4880.594	4974.431	5072.801	5176.268	5285.231	5399.922	5520.332	5646.316	5777.834	5915.123	6058.539	6208.282	6364.569	6527.635	6697.745	6875.228	7060.603	7254.468	7457.362	7669.445	7890.969	8122.529	8364.835	8618.354	8883.016	9158.566	9445.003	9742.263	10050.023	10368.3	10696.274	11031.817	11372.16	11715.218	12060.729	12408.931	12758.881	13109.66	13460.994	13812.472	14165.423	14523.57	14891.891	15274.234	15671.927	16084.886	16513.822	16959.081	17420.795	17899.562	18395.389	18907.008	19432.541	19970.495	20520.447	21082.383	21655.715	22239.904	22834.522
38	Central African Republic	1326.652	1339.84	1353.47	1367.797	1383.073	1399.487	1417.218	1436.391	1457.113	1479.47	1503.508	1529.227	1556.661	1585.763	1616.516	1648.833	1682.885	1718.603	1755.344	1792.22	1828.709	1864.598	1900.317	1936.841	1975.521	2017.372	2062.405	2110.457	2162.249	2218.575	2279.821	2346.797	2418.844	2493.135	2565.803	2634.232	2696.982	2755.244	2812.244	2872.668	2939.78	3014.624	3095.807	3181.222	3267.67	3352.767	3435.821	3517.309	3597.385	3676.508	3754.986	3832.203	3907.612	3981.665	4055.036	4127.91	4201.758	4275.8	4345.386	4404.23	4448.525	4476.153	4490.416	4499.653	4515.392	4546.1
