#
# Commodities production
# Based on the tables, assembled by user Basil
# https://aftershock.news/?q=node/793967
#
# Population	mln (UN data and estimates)
#
# Raw extraction:
# Gypsum	mln tonn
# Phosphates	mln tonn
# Ê2Î	mln tonn
# NaCl	mln tonn
# Iron_Ore	mln tonn
# Bauxite	mln tonn
#
# Metal production:
# Black_Iron	mln tonn
# Steel	mln tonn
# Cr	mln tonn
# Al	mln tonn
# Cu	mln tonn
# Zn	
# Ni	mln tonn
# Pb	mln tonn
#
# Chemicals, cement, electricity:
# Na2CO3	mln tonn
# Cement	mln tonn
# Ammonia	mln tonn (Nitrogen equivalent)
# Electricity	TWh per year
#
Year	Population	Gypsum	Phosphates	Ê2Î	NaCl	Iron_Ore	Bauxite	Black_Iron	Steel	Cr	Al	Cu	Zn	Ni	Pb	Na2CO3	Cement	Ammonia	Electricity
1989	5240.74	104.00	163.00	29.30	192.00	999.00	103.00	546.00	784.00	4.32	19.00	9.00	6.82	0.99	3.40	31.50	1149.00	99.30	11500.00
1990	5330.94	104.00	162.00	27.50	183.00	982.00	113.00	531.00	771.00	3.95	19.30	9.20	7.15	0.97	3.37	32.00	1160.00	97.50	11882.00
1991	5418.76	100.00	150.00	26.10	202.00	956.00	111.00	509.00	737.00	4.06	19.70	9.30	7.27	1.01	3.26	31.20	1182.00	93.80	12160.00
1992	5504.40	98.80	139.00	23.90	185.00	930.00	105.00	503.00	724.00	3.42	19.50	9.50	7.25	1.01	3.20	30.70	1231.00	93.40	12271.00
1993	5588.10	97.20	119.00	20.40	187.00	953.00	110.00	507.00	730.00	3.08	19.80	9.50	6.91	0.93	2.90	29.50	1291.00	91.60	12560.00
1994	5670.32	96.30	127.00	23.10	191.00	982.00	106.00	516.00	730.00	3.09	19.20	9.50	7.05	0.93	2.80	29.60	1370.00	93.80	12867.00
1995	5751.47	98.40	130.00	24.70	199.00	1020.00	112.00	536.00	752.00	4.53	19.70	10.00	7.28	1.04	2.71	31.70	1445.00	100.00	13309.00
1996	5831.57	104.00	135.00	23.90	204.00	1020.00	117.00	516.00	751.00	3.66	20.80	11.00	7.48	1.06	2.92	31.80	1493.00	105.00	13737.00
1997	5910.57	107.00	143.00	25.50	221.00	1040.00	122.00	540.00	797.00	4.33	21.70	11.50	7.54	1.14	3.10	33.10	1547.00	103.00	14027.00
1998	5988.85	104.00	144.00	26.00	200.00	1050.00	123.00	535.00	770.00	4.46	22.60	12.10	7.57	1.18	3.06	32.60	1540.00	104.00	14388.00
1999	6066.87	109.00	137.00	27.20	210.00	1020.00	129.00	539.00	784.00	4.81	23.60	12.80	7.96	1.17	3.08	33.50	1600.00	107.00	14795.00
2000	6145.01	108.00	132.00	27.00	195.00	969.00	136.00	573.00	850.00	4.75	24.30	13.20	8.77	1.29	3.20	34.50	1660.00	108.00	15495.00
2001	6223.41	105.00	126.00	26.40	199.00	937.00	137.00	585.00	852.00	3.74	24.30	13.70	8.91	1.35	3.12	35.90	1750.00	105.00	15611.00
2002	6302.15	111.00	136.00	27.10	214.00	982.00	144.00	608.00	907.00	4.51	26.10	13.60	8.88	1.35	2.85	37.20	1850.00	109.00	16221.00
2003	6381.41	114.00	138.00	28.60	225.00	1080.00	153.00	673.00	974.00	4.77	28.00	13.80	9.52	1.37	3.20	37.10	2020.00	110.00	16816.00
2004	6461.37	145.00	142.00	32.10	235.00	1200.00	164.00	720.00	1060.00	5.01	29.90	14.70	9.60	1.35	3.15	39.70	2190.00	117.00	17586.00
2005	6542.16	147.00	152.00	33.80	249.00	1320.00	178.00	802.00	1140.00	5.92	31.90	15.00	10.00	1.46	3.47	41.10	2350.00	122.00	18347.00
2006	6623.85	160.00	151.00	30.40	261.00	1470.00	193.00	881.00	1250.00	6.08	33.90	15.10	10.30	1.57	3.63	43.70	2620.00	125.00	19057.00
2007	6706.42	167.00	160.00	34.90	261.00	1680.00	221.00	956.00	1350.00	6.93	37.90	15.50	11.10	1.74	3.71	46.20	2810.00	131.00	19886.00
2008	6789.77	157.00	166.00	33.70	261.00	1730.00	224.00	931.00	1330.00	7.32	39.70	15.60	11.90	1.63	3.88	46.70	2850.00	128.00	20268.00
2009	6873.74	232.00	162.00	20.80	265.00	1710.00	209.00	919.00	1230.00	6.01	37.20	16.10	11.60	1.41	3.78	42.10	3050.00	128.00	20186.00
2010	6958.17	241.00	183.00	33.90	269.00	1870.00	239.00	1040.00	1430.00	7.51	41.80	16.10	12.30	1.71	4.16	46.70	3290.00	132.00	21538.00
2011	7043.01	243.00	200.00	35.80	272.00	2030.00	254.00	1100.00	1520.00	8.35	46.80	16.10	12.50	1.63	4.75	50.00	3630.00	139.00	22233.00
2012	7128.18	244.00	216.00	32.80	259.00	2070.00	254.00	1120.00	1520.00	9.27	49.20	16.90	12.60	1.81	5.08	51.70	3820.00	139.00	22735.00
2013	7213.43	252.00	232.00	35.60	273.00	2230.00	291.00	1170.00	1620.00	10.10	51.90	18.30	13.00	1.98	5.43	51.30	4070.00	144.00	23426.00
2014	7298.45	260.00	237.00	40.80	272.00	2330.00	264.00	1180.00	1670.00	11.60	54.00	18.40	13.40	2.00	5.44	52.70	4180.00	140.00	23896.00
2015	7383.01	260.00	241.00	40.60	271.00	2280.00	293.00	1160.00	1610.00	10.30	57.50	19.10	13.90	2.00	4.95	53.40	4060.00	141.00	24333.00
2016	7466.96	261.00	255.00	39.30	270.00	2350.00	275.00	1170.00	1610.00	10.90	58.90	-999.25	13.80	1.93	-999.25	53.60	4050.00	144.00	25040.00
2017	7550.26	260.00	269.00	41.40	288.00	2430.00	309.00	1200.00	1690.00	-999.25	59.40	-999.25	-999.25	-999.25	-999.25	54.00	4050.00	142.00	25691.00
2018	7632.82	-999.25	270.00	42.00	300.00	2500.00	300.00	1200.00	1800.00	-999.25	60.00	-999.25	-999.25	-999.25	-999.25	55.00	4100.00	140.00	26590.00
