#
# GIK23258-2
# 56	GIK23258-2	Foram transfer function	±1.5 C uncertainty	75	14	-1768	40	Winter and Summer*	Sarnthein et al., 2003 (51)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
127	3.07	6952	1.9	6962.65	224.63	0.73
128	3.43	6994	2.21	7005.83	230.91	0.98
129	4.05	7037	2.73	7048.98	236.25	1.41
130	3.53	7080	2.29	7092.12	240.73	1.05
131	5.34	7123	3.8	7135.24	244.4	2.26
132	5.49	7166	3.89	7178.35	247.28	2.29
133	5.41	7208	3.82	7221.44	249.42	2.23
134	3.14	7251	1.92	7264.52	250.83	0.69
135	3.17	7294	2	7307.59	251.53	0.83
136	3.4	7336	2.19	7350.64	251.53	0.97
137	4.14	7379	2.77	7393.68	250.82	1.39
138	3.68	7422	2.43	7436.71	249.41	1.18
139	3.45	7465	2.23	7479.72	247.27	1
140	2.58	7508	1.49	7522.72	244.4	0.39
141	2.6	7550	1.51	7565.71	240.78	0.41
142	3.55	7593	2.35	7608.68	236.35	1.14
143	5.39	7636	3.87	7651.64	231.09	2.35
144	4.69	7678	3.24	7694.58	224.94	1.79
145	6.22	7721	4.58	7737.5	217.82	2.93
146	4.69	7764	3.22	7780.4	209.63	1.75
147	5.1	7807	3.6	7823.28	200.25	2.09
148	6.26	7850	4.64	7866.13	189.5	3.02
149	6.37	7892	4.75	7908.95	177.14	3.13
150	4.43	7935	3.08	7951.73	162.81	1.73
151	6	7978	4.4	7994.46	145.93	2.8
152	6.71	8020	5.13	8037.11	125.51	3.54
153	5.92	8063	4.33	8079.61	99.41	2.74
154	6.01	8106	4.38	8121.27	61.2	2.74
155	5.88	8140	4.3	8158.83	93.08	2.71
156	5.27	8174	3.73	8195.55	114.85	2.18
157	4.1	8209	2.81	8232.11	131.45	1.52
158	4.02	8243	2.74	8268.59	144.65	1.45
159	3.96	8277	2.72	8305.01	155.33	1.47
160	5.07	8311	3.6	8341.38	163.97	2.12
161	5.71	8345	4.24	8377.71	170.88	2.77
162	3.93	8379	2.7	8414.02	176.26	1.47
163	3.89	8414	2.67	8450.29	180.25	1.45
164	3.54	8448	2.36	8486.54	182.95	1.17
165	3.27	8482	2.11	8522.76	184.39	0.95
166	3.76	8516	2.56	8558.95	184.63	1.36
167	4.19	8550	2.91	8595.12	183.66	1.63
168	6.42	8584	4.86	8631.26	181.46	3.3
