#
# ASTM E-490 Reference Spectra Derived from SMARTS v. 2.9.2 (AM1.5)
# Wavelength (nm),
# Irradiance W*m-2*nm-1
#
Wavelength,Irradiance
487.5,1.830E+00
488.5,1.914E+00
489.5,1.960E+00
490.5,2.007E+00
491.5,1.896E+00
492.5,1.896E+00
493.5,1.888E+00
494.5,2.058E+00
495.5,1.926E+00
496.5,2.017E+00
497.5,2.018E+00
498.5,1.866E+00
499.5,1.970E+00
500.5,1.857E+00
501.5,1.812E+00
502.5,1.894E+00
503.5,1.934E+00
504.5,1.869E+00
505.5,1.993E+00
506.5,1.961E+00
507.5,1.906E+00
508.5,1.919E+00
509.5,1.916E+00
510.5,1.947E+00
511.5,1.997E+00
512.5,1.867E+00
513.5,1.861E+00
514.5,1.874E+00
515.5,1.900E+00
516.5,1.669E+00
517.5,1.726E+00
518.5,1.654E+00
519.5,1.828E+00
520.5,1.831E+00
521.5,1.906E+00
522.5,1.823E+00
523.5,1.894E+00
524.5,1.958E+00
525.5,1.930E+00
526.5,1.674E+00
527.5,1.828E+00
528.5,1.897E+00
529.5,1.918E+00
530.5,1.952E+00
531.5,1.963E+00
532.5,1.770E+00
533.5,1.923E+00
534.5,1.858E+00
535.5,1.990E+00
536.5,1.871E+00
537.5,1.882E+00
538.5,1.904E+00
539.5,1.832E+00
540.5,1.769E+00
541.5,1.881E+00
542.5,1.825E+00
543.5,1.879E+00
544.5,1.879E+00
545.5,1.901E+00
546.5,1.879E+00
547.5,1.833E+00
548.5,1.863E+00
549.5,1.895E+00
550.5,1.862E+00
551.5,1.871E+00
552.5,1.846E+00
553.5,1.882E+00
554.5,1.898E+00
555.5,1.897E+00
556.5,1.821E+00
557.5,1.846E+00
558.5,1.787E+00
559.5,1.808E+00
560.5,1.843E+00
561.5,1.824E+00
562.5,1.850E+00
563.5,1.861E+00
564.5,1.854E+00
565.5,1.798E+00
566.5,1.829E+00
567.5,1.887E+00
568.5,1.810E+00
569.5,1.860E+00
570.5,1.769E+00
571.5,1.823E+00
572.5,1.892E+00
573.5,1.876E+00
574.5,1.867E+00
575.5,1.830E+00
576.5,1.846E+00
577.5,1.857E+00
578.5,1.783E+00
579.5,1.828E+00
580.5,1.838E+00
581.5,1.853E+00
582.5,1.873E+00
583.5,1.857E+00
584.5,1.860E+00
585.5,1.783E+00
586.5,1.830E+00
587.5,1.848E+00
588.5,1.750E+00
589.5,1.612E+00
590.5,1.813E+00
591.5,1.787E+00
592.5,1.808E+00
593.5,1.796E+00
594.5,1.773E+00
595.5,1.782E+00
596.5,1.805E+00
597.5,1.780E+00
598.5,1.757E+00
599.5,1.774E+00
600.5,1.746E+00
601.5,1.751E+00
602.5,1.719E+00
603.5,1.787E+00
604.5,1.776E+00
605.5,1.763E+00
606.5,1.759E+00
607.5,1.757E+00
608.5,1.743E+00
609.5,1.744E+00
610.5,1.703E+00
611.5,1.746E+00
612.5,1.705E+00
613.5,1.683E+00
614.5,1.713E+00
615.5,1.713E+00
616.5,1.609E+00
617.5,1.707E+00
618.5,1.724E+00
619.5,1.707E+00
620.5,1.734E+00
621.5,1.690E+00
622.5,1.713E+00
623.5,1.666E+00
